#,Protein ID,AgeBeta,Pvalue,BH Adjusted Pvalue,Acc No.,ProteinDescription,Genenames,AA Length,GenePrimary,GOCC,GOMF,GOBP,Tissue,Ome,Species
11,SCAF8_HUMAN,0.011719692,0.01878154,0.092821687,Q9UPN6,Protein SCAF8 (CDC5L complex-associated protein 7) (RNA-binding motif protein 16) (SR-related and CTD-associated factor 8),SCAF8 CCAP7 KIAA1116 RBM16,1271,SCAF8,nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681],RNA binding [GO:0003723]; RNA polymerase core enzyme binding [GO:0043175],mRNA processing [GO:0006397]; RNA splicing [GO:0008380],SKM,PROT,HUMAN
12,HNRH1_HUMAN,0.001237887,0.033861737,0.135570758,P31943,"Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]",HNRNPH1 HNRPH HNRPH1,449,HNRNPH1,"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; fibroblast growth factor receptor signaling pathway [GO:0008543]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]",SKM,PROT,HUMAN
13,SNUT1_HUMAN,0.003614051,0.032817903,0.13321818,O43290,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),SART1,800,SART1,"Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; RNA binding [GO:0003723]; cell cycle arrest [GO:0007050]; intrinsic apoptotic signaling pathway [GO:0097193]; maturation of 5S rRNA [GO:0000481]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of cytotoxic T cell differentiation [GO:0045585]; spliceosomal snRNP assembly [GO:0000387]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; RNA binding [GO:0003723]; cell cycle arrest [GO:0007050]; intrinsic apoptotic signaling pathway [GO:0097193]; maturation of 5S rRNA [GO:0000481]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of cytotoxic T cell differentiation [GO:0045585]; spliceosomal snRNP assembly [GO:0000387]","Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; RNA binding [GO:0003723]; cell cycle arrest [GO:0007050]; intrinsic apoptotic signaling pathway [GO:0097193]; maturation of 5S rRNA [GO:0000481]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of cytotoxic T cell differentiation [GO:0045585]; spliceosomal snRNP assembly [GO:0000387]",SKM,PROT,HUMAN
14,HNRPC_HUMAN,0.002632055,1.30E-05,0.000561722,P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),HNRNPC HNRPC,306,HNRNPC,"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; spliceosomal complex [GO:0005681]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; nucleosomal DNA binding [GO:0031492]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; telomerase RNA binding [GO:0070034]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; ATP-dependent chromatin remodeling [GO:0043044]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; spliceosomal complex [GO:0005681]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; nucleosomal DNA binding [GO:0031492]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; telomerase RNA binding [GO:0070034]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; ATP-dependent chromatin remodeling [GO:0043044]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]","catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein complex [GO:0043234]; spliceosomal complex [GO:0005681]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; nucleosomal DNA binding [GO:0031492]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; telomerase RNA binding [GO:0070034]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; ATP-dependent chromatin remodeling [GO:0043044]; gene expression [GO:0010467]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of telomere maintenance via telomerase [GO:0032211]; osteoblast differentiation [GO:0001649]; RNA splicing [GO:0008380]",SKM,PROT,HUMAN
15,SAP18_HUMAN,0.00383788,0.017780708,0.089752532,O00422,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),SAP18 GIG38,153,SAP18,"ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; histone deacetylase activity [GO:0004407]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; mRNA processing [GO:0006397]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]","ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; histone deacetylase activity [GO:0004407]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; mRNA processing [GO:0006397]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]","ASAP complex [GO:0061574]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; histone deacetylase activity [GO:0004407]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; mRNA processing [GO:0006397]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of apoptotic process [GO:0043065]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; RNA splicing [GO:0008380]; transcription, DNA-templated [GO:0006351]",SKM,PROT,HUMAN
16,PRP19_HUMAN,0.001878576,0.000113214,0.002607424,Q9UMS4,Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor),PRPF19 NMP200 PRP19 SNEV,504,PRPF19,"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; lipid particle [GO:0005811]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; site of double-strand break [GO:0035861]; spindle [GO:0005819]; U2-type catalytic step 1 spliceosome [GO:0071006]; identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular protein localization [GO:0034613]; double-strand break repair via nonhomologous end joining [GO:0006303]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; inner cell mass cell proliferation [GO:0001833]; lipid biosynthetic process [GO:0008610]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; proteasomal protein catabolic process [GO:0010498]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; signal transduction involved in DNA damage checkpoint [GO:0072422]; spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]; transcription-coupled nucleotide-excision repair [GO:0006283]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; lipid particle [GO:0005811]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; site of double-strand break [GO:0035861]; spindle [GO:0005819]; U2-type catalytic step 1 spliceosome [GO:0071006]; identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular protein localization [GO:0034613]; double-strand break repair via nonhomologous end joining [GO:0006303]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; inner cell mass cell proliferation [GO:0001833]; lipid biosynthetic process [GO:0008610]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; proteasomal protein catabolic process [GO:0010498]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; signal transduction involved in DNA damage checkpoint [GO:0072422]; spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]; transcription-coupled nucleotide-excision repair [GO:0006283]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; lipid particle [GO:0005811]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; site of double-strand break [GO:0035861]; spindle [GO:0005819]; U2-type catalytic step 1 spliceosome [GO:0071006]; identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular protein localization [GO:0034613]; double-strand break repair via nonhomologous end joining [GO:0006303]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; inner cell mass cell proliferation [GO:0001833]; lipid biosynthetic process [GO:0008610]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; proteasomal protein catabolic process [GO:0010498]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; signal transduction involved in DNA damage checkpoint [GO:0072422]; spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]; transcription-coupled nucleotide-excision repair [GO:0006283]",SKM,PROT,HUMAN
17,CTBL1_HUMAN,0.004664187,3.45E-06,0.000198767,Q8WYA6,Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19),CTNNBL1 C20orf33 PP8304,563,CTNNBL1,"cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; enzyme binding [GO:0019899]; apoptotic process [GO:0006915]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of apoptotic process [GO:0043065]; somatic diversification of immunoglobulins [GO:0016445]","cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; enzyme binding [GO:0019899]; apoptotic process [GO:0006915]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of apoptotic process [GO:0043065]; somatic diversification of immunoglobulins [GO:0016445]","cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; enzyme binding [GO:0019899]; apoptotic process [GO:0006915]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of apoptotic process [GO:0043065]; somatic diversification of immunoglobulins [GO:0016445]",SKM,PROT,HUMAN
18,PLRG1_HUMAN,0.00471378,0.000571516,0.008180521,O43660,Pleiotropic regulator 1,PLRG1,514,PLRG1,"catalytic step 2 spliceosome [GO:0071013]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; fibrillar center [GO:0001650]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; protein localization to nucleus [GO:0034504]","catalytic step 2 spliceosome [GO:0071013]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; fibrillar center [GO:0001650]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; protein localization to nucleus [GO:0034504]","catalytic step 2 spliceosome [GO:0071013]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; fibrillar center [GO:0001650]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; protein localization to nucleus [GO:0034504]",SKM,PROT,HUMAN
19,IF4A3_HUMAN,0.001697398,0.002194611,0.021896116,P38919,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",EIF4A3 DDX48 KIAA0111,411,EIF4A3,"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; selenocysteine insertion sequence binding [GO:0035368]; associative learning [GO:0008306]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to selenite ion [GO:0072715]; embryonic cranial skeleton morphogenesis [GO:0048701]; exploration behavior [GO:0035640]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; response to organic cyclic compound [GO:0014070]; RNA export from nucleus [GO:0006405]; RNA secondary structure unwinding [GO:0010501]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; selenocysteine insertion sequence binding [GO:0035368]; associative learning [GO:0008306]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to selenite ion [GO:0072715]; embryonic cranial skeleton morphogenesis [GO:0048701]; exploration behavior [GO:0035640]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; response to organic cyclic compound [GO:0014070]; RNA export from nucleus [GO:0006405]; RNA secondary structure unwinding [GO:0010501]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; selenocysteine insertion sequence binding [GO:0035368]; associative learning [GO:0008306]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to selenite ion [GO:0072715]; embryonic cranial skeleton morphogenesis [GO:0048701]; exploration behavior [GO:0035640]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of selenocysteine incorporation [GO:1904570]; negative regulation of selenocysteine insertion sequence binding [GO:1904574]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of translation [GO:0045727]; response to organic cyclic compound [GO:0014070]; RNA export from nucleus [GO:0006405]; RNA secondary structure unwinding [GO:0010501]; RNA splicing [GO:0008380]; rRNA processing [GO:0006364]; termination of RNA polymerase II transcription [GO:0006369]",SKM,PROT,HUMAN
20,RBM8A_HUMAN,0.003278256,1.19E-05,0.00052008,Q9Y5S9,RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A),RBM8A RBM8 HSPC114 MDS014,174,RBM8A,"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]","catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; exon-exon junction complex [GO:0035145]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]",SKM,PROT,HUMAN
