UniProt Accession,Description,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fractions,Occurrences,Highest mean condition,Lowest mean condition,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,Anova p-value <= 0.05,Fold change >= 1.5,Fold change >= 2,Tissue,Ome,Species
AT1A3_HUMAN,Sodium potassium transporting ATPase subunit alpha 3 OS Homo sapiens GN ATP1A3 PE 1 SV 3,1,1,6.58,2.85E-05,0.000698227,-1.96355908,0.999926812,5,1,Control,HCM,81.62398283,71.94379436,68.13044811,73.62935659,113.8823417,84.27276808,54.65947558,44.54633627,50.1709817,26.89021188,40.61875242,49.5641872,57.72179264,31.30909038,35.07668427,32.85613794,37.34063921,x,x,,HEART,PROT,HUMAN
DECR_HUMAN,2 4 dienoyl CoA reductase mitochondrial OS Homo sapiens GN DECR1 PE 1 SV 1,35,27,240.98,3.11E-05,0.000698227,-1.42342943,0.999911757,1;3;4;5;6;8;9;10;11,9,Control,HCM,13494.06275,13948.38504,15172.92656,11398.01308,12628.61347,11986.41023,8364.995243,8755.232037,7867.044455,10111.46093,11056.38683,10177.96783,8152.81738,9152.525817,9814.985564,10279.38922,7538.170141,x,,,HEART,PROT,HUMAN
ATPO_HUMAN,ATP synthase subunit O mitochondrial OS Homo sapiens GN ATP5O PE 1 SV 1,26,24,135.93,3.53E-05,0.000698227,-1.37882428,0.999884977,4;5;6;7;8;9;10;11,8,Control,HCM,9874.772051,10116.86759,8478.400302,8321.61324,9650.191398,9494.503012,6239.677119,5679.907487,7166.574772,6552.464772,8635.742944,7050.918665,6611.59587,5831.584797,7359.475259,7234.405345,6012.591318,x,,,HEART,PROT,HUMAN
ADT1_HUMAN,ADP ATP translocase 1 OS Homo sapiens GN SLC25A4 PE 1 SV 4,67,20,297.04,3.58E-05,0.000698227,-1.86174015,0.999881331,1;3;4;5;6;7;8;9;10;11;12,11,Control,HCM,10417.99518,13172.27882,8377.546344,13231.14814,13757.28911,9524.846695,6212.837583,5144.501306,6666.88675,6417.72818,8959.218742,6840.984165,5182.167989,5054.445788,6422.450287,6625.760549,3909.224042,x,x,,HEART,PROT,HUMAN
ATP5L_HUMAN,ATP synthase subunit g mitochondrial OS Homo sapiens GN ATP5L PE 1 SV 3,6,4,15.44,3.64E-05,0.000698227,-1.95375836,0.999877078,5;6;8;9;10,5,Control,HCM,2526.453011,2698.952699,2189.114747,2816.635826,3370.816277,2763.491394,1237.970431,829.4133563,1436.801215,1415.823931,2167.546649,1438.742605,1116.899061,1033.683249,1336.215561,2007.206028,1336.433531,x,x,,HEART,PROT,HUMAN
NU4M_HUMAN,NADH ubiquinone oxidoreductase chain 4 OS Homo sapiens GN MT ND4 PE 1 SV 1,2,2,14.78,3.77E-05,0.000698227,-1.95024626,0.999868069,10,1,Control,HCM,512.2969178,777.6969781,677.6112241,609.6534748,799.267104,571.5423351,307.3644545,219.6853615,447.6423631,377.7270003,416.8884918,380.0129732,264.983197,243.5917153,347.5913502,452.9243399,252.9788952,x,x,,HEART,PROT,HUMAN
CX7A1_HUMAN,Cytochrome c oxidase subunit 7A1 mitochondrial OS Homo sapiens GN COX7A1 PE 1 SV 2,3,3,15.06,5.04E-05,0.00085603,-1.91595806,0.999764339,3;4;5;6;7,5,Control,HCM,1757.024447,1956.730421,1628.141984,1556.999067,2800.56852,2304.256045,1124.597077,1036.022008,1161.698696,951.1804982,1427.653314,947.4889843,1037.93376,952.3953684,1329.601036,927.327467,590.1678986,x,x,,HEART,PROT,HUMAN
QCR8_HUMAN,Cytochrome b c1 complex subunit 8 OS Homo sapiens GN UQCRQ PE 1 SV 4,2,1,14.82,6.18E-05,0.000968358,-4.91361386,0.999652218,8,1,Control,HCM,309.7219873,317.7906047,119.0279152,125.4877426,317.1240631,103.1306988,23.01688811,21.31202464,97.82900021,42.44522621,125.0707054,32.095567,25.2831438,34.45832572,15.90480963,35.33883451,29.41309913,x,x,x,HEART,PROT,HUMAN
ANXA3_HUMAN,Annexin A3 OS Homo sapiens GN ANXA3 PE 1 SV 3,1,1,7.19,8.51E-05,0.001055035,-1.45117004,0.999375957,4,1,Control,HCM,51.90605054,46.94711395,43.75818921,47.26250607,42.30870951,58.40955376,25.62724033,27.42541504,32.52381224,34.88762247,35.46113284,37.10308306,34.13051124,33.23160864,44.0897966,29.11160065,33.52726829,x,,,HEART,PROT,HUMAN
NDUS3_HUMAN,NADH dehydrogenase ubiquinone iron sulfur protein 3 mitochondrial OS Homo sapiens GN NDUFS3 PE 1,11,8,64.17,8.66E-05,0.001055035,-1.77562424,0.999356182,4;5;6;7;8,5,Control,HCM,2275.98319,2422.115237,2124.903958,2061.929999,2601.878859,2399.365734,1720.70309,1892.218614,1244.238248,914.1208243,1501.336355,1281.069384,1148.304326,1564.241924,934.3822515,1301.41064,835.4622786,x,x,,HEART,PROT,HUMAN
QCR9_HUMAN,Cytochrome b c1 complex subunit 9 OS Homo sapiens GN UQCR10 PE 1 SV 3,6,5,23.61,9.44E-05,0.001055035,-1.53548318,0.999249381,10,1,Control,HCM,1699.239598,1939.664021,1835.279629,1676.257891,2078.084346,1525.468995,1114.833887,868.6129364,1370.729405,1182.98334,1468.326427,1245.948146,1022.087618,922.2777136,1361.232485,1356.334148,926.6681167,x,x,,HEART,PROT,HUMAN
ANXA1_HUMAN,Annexin A1 OS Homo sapiens GN ANXA1 PE 1 SV 2,3,3,18.48,9.71E-05,0.001055035,-2.64827871,0.999212099,1;5,2,Control,HCM,259.9763587,601.6746646,219.6569153,433.1161051,317.5617994,216.5415345,166.9469979,151.4483934,113.4464706,77.18419465,206.1753274,158.598587,133.0805306,126.5959701,123.838039,84.9971841,75.82964701,x,x,x,HEART,PROT,HUMAN
NDUBB_HUMAN,NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 11 mitochondrial OS Homo sapiens GN NDUFB,2,1,6.3,9.83E-05,0.001055035,-2.09908975,0.999195127,1,1,Control,HCM,371.4640334,250.6085137,256.2909349,301.1035809,417.1438208,318.5450745,129.8253049,84.53982565,148.2730275,156.6460688,299.6071489,173.9714199,144.0444497,133.0650035,139.1418127,167.6412159,95.93130251,x,x,x,HEART,PROT,HUMAN
ATP5I_HUMAN,ATP synthase subunit e mitochondrial OS Homo sapiens GN ATP5I PE 1 SV 2,5,2,36.86,9.84E-05,0.001055035,-1.87424396,0.9991932,1;9;10,3,Control,HCM,264.3018785,433.1693163,255.620096,321.9400302,498.734684,276.7411506,159.5637775,140.8729113,220.5427562,170.0608456,257.0407079,231.6869952,151.4166945,140.7911633,168.5469258,185.6334246,179.5928848,x,x,,HEART,PROT,HUMAN
VDAC1_HUMAN,Voltage dependent anion selective channel protein 1 OS Homo sapiens GN VDAC1 PE 1 SV 2,22,16,130.6,0.000108394,0.00110387,-1.59042574,0.999047143,3;4;5;6;7;8;9;10,8,Control,HCM,7286.581243,8692.01662,5523.593161,6510.565241,8754.71809,5869.456939,4199.92662,3543.671162,4721.97317,4602.260247,5905.195862,4919.161019,4196.477964,3518.636727,4605.306484,5212.386422,3723.924236,x,x,,HEART,PROT,HUMAN
AT2A2_HUMAN;AT2A1_HUMAN,Sarcoplasmic endoplasmic reticulum calcium ATPase 2 OS Homo sapiens GN ATP2A2 PE 1 SV 1,20,13,126.67,0.000119632,0.001158107,-1.69387218,0.998873755,3;4;5;6;7;10,6,Control,HCM,3476.118602,5228.325046,3526.879518,4485.131671,6307.135059,4158.480013,2232.346353,2214.092688,2735.201672,3157.027782,3699.838633,2132.746837,2438.130964,2258.607093,3049.930976,3028.304778,2473.816694,x,x,,HEART,PROT,HUMAN
MPCP_HUMAN,Phosphate carrier protein mitochondrial OS Homo sapiens GN SLC25A3 PE 1 SV 2,11,11,93.19,0.00012655,0.001158107,-1.90175124,0.998762758,5;6;7;8;9;10;11,7,Control,HCM,4751.112034,5856.394872,3927.673393,4302.714801,6059.803563,4517.482231,1813.461713,1672.821854,2700.727783,3107.880434,4213.641549,2956.600414,2222.276103,1670.845191,2611.575048,3077.832014,2309.270494,x,x,,HEART,PROT,HUMAN
VDAC3_HUMAN,Voltage dependent anion selective channel protein 3 OS Homo sapiens GN VDAC3 PE 1 SV 1,12,8,50.36,0.000130778,0.001158107,-1.75967817,0.998693422,8;9;10;12,4,Control,HCM,2215.152838,3358.577063,1739.754111,2222.669692,2890.80811,2213.613333,1503.432882,990.4596227,1548.459607,1427.073102,1815.187885,1891.395157,1073.366336,1141.80408,1167.783115,1424.921239,1269.505263,x,x,,HEART,PROT,HUMAN
ATP6_HUMAN,ATP synthase subunit a OS Homo sapiens GN MT ATP6 PE 1 SV 1,2,2,14.42,0.000173146,0.001469418,-2.11112747,0.997944463,10,1,Control,HCM,1263.918414,1816.714,1320.024862,1519.537807,2173.201919,1364.460583,662.4432648,424.166027,1004.37762,840.7127611,1098.40232,979.2317444,564.5297683,410.9083068,787.6910774,910.6205114,530.2556036,x,x,x,HEART,PROT,HUMAN
COX41_HUMAN,Cytochrome c oxidase subunit 4 isoform 1 mitochondrial OS Homo sapiens GN COX4I1 PE 1 SV 1,12,6,45.67,0.000205821,0.001676846,-1.80733449,0.99731215,3;4;8;9;10,5,Control,HCM,2360.018885,3899.940473,2614.676986,2308.671133,4179.900291,2313.263597,1539.401527,1237.434506,1881.691198,1533.489882,2377.520796,2053.747816,1237.866976,1369.74508,1620.583444,1762.685611,1316.583854,x,x,,HEART,PROT,HUMAN
QCR1_HUMAN,Cytochrome b c1 complex subunit 1 mitochondrial OS Homo sapiens GN UQCRC1 PE 1 SV 3,29,23,176.1,0.000228818,0.001792502,-1.59349556,0.99684477,3;4;5;6;7;8;9;10,8,Control,HCM,6500.357436,8180.570578,6609.330211,6450.248512,10024.6928,6793.791921,3460.915518,3843.790232,5270.618162,4655.814406,6718.112946,4380.519133,3791.616868,4088.956274,5237.713774,5673.107783,4144.421391,x,x,,HEART,PROT,HUMAN
QCR2_HUMAN,Cytochrome b c1 complex subunit 2 mitochondrial OS Homo sapiens GN UQCRC2 PE 1 SV 3,31,23,190.44,0.0002399,0.001809712,-1.73982686,0.996613899,4;5;6;7;9;10,6,Control,HCM,8875.300822,10179.7519,7517.424156,7657.761469,11914.75461,7028.783296,4548.357669,3746.216012,5686.637293,4419.519745,7958.259719,5661.859256,4205.892164,3903.681447,6908.51046,5025.922753,3966.728258,x,x,,HEART,PROT,HUMAN
AOFB_HUMAN,Amine oxidase flavin containing B OS Homo sapiens GN MAOB PE 1 SV 3,3,2,13.11,0.000260646,0.001847601,-2.10637903,0.996172968,6,1,Control,HCM,100.7605941,114.4631746,79.71337291,103.6287385,98.5555151,92.34176252,41.00225805,27.09624365,54.89913048,53.21860094,102.0799919,50.60948434,23.74246363,27.73211363,43.24723663,48.81953512,40.60517089,x,x,x,HEART,PROT,HUMAN
LDHA_HUMAN;LDH6B_HUMAN,L lactate dehydrogenase A chain OS Homo sapiens GN LDHA PE 1 SV 2,21,14,135.67,0.000307917,0.001966959,-1.33298246,0.99513227,1;4;5;6;7;9;10,7,Control,HCM,4322.183996,5706.983618,5564.422752,5981.569898,4330.380739,4906.382839,4284.58854,4166.281512,3419.77935,3776.907219,3869.738469,3268.502387,3517.378086,3651.81451,4768.276741,3858.858806,3795.421625,x,,,HEART,PROT,HUMAN
CY1_HUMAN,Cytochrome c1 heme protein mitochondrial OS Homo sapiens GN CYC1 PE 1 SV 3,3,2,24.6,0.000336421,0.001966959,-2.22356328,0.994484896,7;8;9,3,Control,HCM,1637.238571,1566.668907,906.3000609,999.4808109,2229.210651,1033.631786,657.2980169,353.3060193,701.5727641,476.0312584,1097.10546,1002.817159,546.5557038,528.8478961,514.3623052,565.4959445,459.7794721,x,x,x,HEART,PROT,HUMAN
IMMT_HUMAN,Mitochondrial inner membrane protein OS Homo sapiens GN IMMT PE 1 SV 1,3,2,14.22,0.000336651,0.001966959,-1.83556383,0.994479628,5;6;7;10,4,Control,HCM,687.9855762,1010.794687,552.2344038,723.8127024,925.2470367,728.3992112,369.6209002,307.6750862,580.032371,333.393847,657.4863684,554.2313116,408.3340909,255.1073894,395.8971955,426.3231391,334.7476073,x,x,,HEART,PROT,HUMAN
ANXA5_HUMAN,Annexin A5 OS Homo sapiens GN ANXA5 PE 1 SV 2,5,5,44.37,0.000349091,0.001966959,-1.44633073,0.994193145,3;4;5;6,4,Control,HCM,947.4870435,985.9774742,713.1477141,1466.88076,1095.926377,1039.879841,685.4741649,652.4704183,731.3462773,716.7408585,786.2927181,671.1297151,623.0501981,747.0218511,733.8079534,796.4745231,777.6496256,x,,,HEART,PROT,HUMAN
ANXA6_HUMAN,Annexin A6 OS Homo sapiens GN ANXA6 PE 1 SV 3,11,9,64.07,0.000355579,0.001966959,-1.65266095,0.994042879,1;4;5,3,Control,HCM,511.5337204,717.5623904,414.5713836,800.53302,805.5366375,577.3299779,315.7866351,329.0455578,434.6723323,361.5636291,448.8621171,492.2823835,405.1300831,426.7905959,356.4712455,276.0682709,398.7773373,x,x,,HEART,PROT,HUMAN
CMC1_HUMAN,Calcium binding mitochondrial carrier protein Aralar1 OS Homo sapiens GN SLC25A12 PE 1 SV 2,5,4,34.6,0.000357247,0.001966959,-3.25226712,0.994004151,7;8,2,Control,HCM,341.9093158,460.7043743,218.6529531,327.3209129,503.0741112,371.9243938,66.08929494,96.29392576,169.1662662,106.0780738,282.5385704,172.8626082,123.2845455,55.82052638,99.19104804,57.88684882,24.24451036,x,x,x,HEART,PROT,HUMAN
ECHB_HUMAN,Trifunctional enzyme subunit beta mitochondrial OS Homo sapiens GN HADHB PE 1 SV 3,22,15,127.86,0.000357317,0.001966959,-1.34177233,0.994002529,1;4;5;6;7;9;10;11,8,Control,HCM,4679.695525,6724.005286,5201.700383,5774.677246,6123.615543,4895.816733,3579.719995,3174.909649,4601.95208,3901.247679,4357.387204,4363.424513,4064.502603,4055.992928,4735.690004,4519.641934,4281.020245,x,,,HEART,PROT,HUMAN
VDAC2_HUMAN,Voltage dependent anion selective channel protein 2 OS Homo sapiens GN VDAC2 PE 1 SV 2,14,10,103.05,0.000408961,0.002192003,-1.66843510,0.992787108,5;6;7;10;11;12,6,Control,HCM,4358.926492,6189.489606,3247.42347,4171.71876,6347.992948,3871.458886,2472.026553,2397.639521,3533.462188,2722.738761,3962.523276,3100.34546,2613.706791,2097.768761,2992.640962,2773.609093,2306.385842,x,x,,HEART,PROT,HUMAN
COX7C_HUMAN,Cytochrome c oxidase subunit 7C mitochondrial OS Homo sapiens GN COX7C PE 1 SV 1,3,2,20.92,0.000456998,0.002386673,-1.88500517,0.991632954,5;10,2,Control,HCM,744.5636191,836.1663565,587.4080469,506.6910741,715.6945478,543.1249166,258.8657751,237.8157958,403.8249787,391.9535441,632.6408424,338.428638,232.1087908,272.7458479,406.7632226,434.5057462,216.166055,x,x,,HEART,PROT,HUMAN
NDUS5_HUMAN,NADH dehydrogenase ubiquinone iron sulfur protein 5 OS Homo sapiens GN NDUFS5 PE 1 SV 3,3,2,15.79,0.000738781,0.003582693,-2.23777390,0.984633673,4;5;6,3,Control,HCM,85.41063477,215.6923887,169.6858689,129.2561331,283.4928851,151.5477773,50.04736911,43.4880703,111.6763915,53.71079322,131.791034,94.90878522,79.66682499,81.30076093,64.74842155,76.42799764,60.24464678,x,x,x,HEART,PROT,HUMAN
ALDOC_HUMAN,Fructose bisphosphate aldolase C OS Homo sapiens GN ALDOC PE 1 SV 2,42,18,261.88,0.000811312,0.003842929,-1.18329358,0.982808058,1;2;3;4;5;6;7;9;10,9,Control,HCM,5241.541167,5983.271769,5949.610693,5828.979069,5680.512984,5203.966121,5164.506963,4456.006281,4796.168679,4664.134166,4536.923344,4082.274189,4528.408721,5498.755414,5207.074018,5099.978949,4469.885225,x,,,HEART,PROT,HUMAN
RAB1B_HUMAN;RAB15_HUMAN;RAB1A_HUMAN;RAB1C_HUMAN;RAB8A_HUMAN,Ras related protein Rab 1B OS Homo sapiens GN RAB1B PE 1 SV 1,4,3,21.51,0.000836057,0.003870138,-1.50404841,0.9821851,5;6;7,3,Control,HCM,552.4012511,560.3649938,395.1365918,698.0322453,586.1369019,466.6687706,298.5971178,281.9358526,288.6380535,397.7152762,498.0187281,376.9446745,340.7048454,293.1868086,454.3087218,342.3504242,399.7841824,x,x,,HEART,PROT,HUMAN
NNTM_HUMAN,NAD P transhydrogenase mitochondrial OS Homo sapiens GN NNT PE 1 SV 3,21,14,103.66,0.000920286,0.004165369,-1.63739696,0.980066668,3;6;7;8;9;10,6,Control,HCM,4203.014934,5424.434834,3217.545668,3910.304337,4921.230508,3963.737755,2104.909074,1852.070979,3156.745446,2389.864633,4527.642263,3027.164685,2487.832226,1987.308949,2890.100592,2472.016874,1812.812174,x,x,,HEART,PROT,HUMAN
AT5F1_HUMAN,ATP synthase subunit b mitochondrial OS Homo sapiens GN ATP5F1 PE 1 SV 2,13,9,55.97,0.001086988,0.004812935,-1.43490051,0.97589499,4;5;6;7,4,Control,HCM,1408.930592,1683.971836,1263.529217,1410.922388,1638.013299,1585.480304,899.7314091,831.3508331,1145.933489,1200.031098,1328.320563,1096.981075,802.8453405,754.0548325,1237.376885,1314.156464,876.5793496,x,,,HEART,PROT,HUMAN
QCR6_HUMAN,Cytochrome b c1 complex subunit 6 mitochondrial OS Homo sapiens GN UQCRH PE 1 SV 2,6,2,36.74,0.001114924,0.004831595,-1.80214683,0.975199828,1;2;4;5,4,Control,HCM,1933.442787,4017.141984,1471.777263,1788.171391,2018.170293,1641.008719,1004.600512,843.4740421,1519.064205,1208.405568,1723.099501,897.7310271,1031.27351,1099.97448,1217.536614,1278.660898,1268.604998,x,x,,HEART,PROT,HUMAN
AACT_HUMAN,Alpha 1 antichymotrypsin OS Homo sapiens GN SERPINA3 PE 1 SV 2,15,12,90.18,0.001179236,0.005003832,-1.70275048,0.973604632,1;3;4;5;9;10,6,Control,HCM,1222.824773,2025.628126,2825.257956,3396.045807,1879.185558,2297.8904,1210.216895,1255.171684,1126.074305,1547.884241,1356.360666,1233.891819,1239.619623,1296.048789,1486.904686,1047.759919,1893.466944,x,x,,HEART,PROT,HUMAN
M2OM_HUMAN,Mitochondrial 2 oxoglutarate malate carrier protein OS Homo sapiens GN SLC25A11 PE 1 SV 3,17,14,101.87,0.001395922,0.00557486,-1.30031808,0.968290099,4;7;8;9;10,5,Control,HCM,5020.585736,6158.086945,4984.347662,4405.112526,6731.943568,4674.159897,4218.273298,3555.186895,4141.747625,3618.160718,5060.746649,4361.088938,4257.85114,3526.491735,3997.424764,3983.611103,4360.258538,x,,,HEART,PROT,HUMAN
CX7A2_HUMAN,Cytochrome c oxidase subunit 7A2 mitochondrial OS Homo sapiens GN COX7A2 PE 1 SV 1,3,3,16.21,0.001491714,0.005830275,-1.43592601,0.965973105,3;4;5;6,4,Control,HCM,1006.296134,1055.824263,794.5578131,807.3062451,1179.918823,882.8545289,703.5528967,776.9701862,778.2122565,489.0848289,822.6517636,686.5823002,622.7143204,501.148826,805.5390194,492.470229,632.7704339,x,,,HEART,PROT,HUMAN
NDUBA_HUMAN,NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10 OS Homo sapiens GN NDUFB10 PE 1 SV 3,3,3,7.71,0.001714693,0.006467491,-1.96866318,0.960662287,8;9,2,Control,HCM,645.2570342,783.6579209,476.6762716,517.6569799,748.2348569,467.3003088,324.9651914,266.9884879,388.3252686,294.171535,440.8511744,356.9719088,248.2903537,91.97420306,419.3748037,308.1682736,248.5649203,x,x,,HEART,PROT,HUMAN
NDUV1_HUMAN,NADH dehydrogenase ubiquinone flavoprotein 1 mitochondrial OS Homo sapiens GN NDUFV1 PE 1 SV 4,8,5,40.74,0.001804849,0.006683766,-1.58382577,0.958548499,3;4;5,3,Control,HCM,408.8651052,538.5449167,442.2632545,392.4084322,715.785756,496.9359771,365.9466562,443.9799501,316.970526,274.3009159,455.3770707,222.4104423,272.3746895,212.7792772,355.8329799,290.6109544,256.0055284,x,x,,HEART,PROT,HUMAN
NB5R1_HUMAN,NADH cytochrome b5 reductase 1 OS Homo sapiens GN CYB5R1 PE 1 SV 1,1,1,6.67,0.001866958,0.006790311,-1.49839205,0.957103575,10,1,Control,HCM,126.4040237,161.1800912,80.03501421,130.3408065,125.9838728,117.036621,76.73151385,64.8433112,82.13735852,93.44049956,117.3740447,98.52101777,71.79068552,57.11045207,77.79757655,89.75286801,77.11528167,x,,,HEART,PROT,HUMAN
RS13_HUMAN,40S ribosomal protein S13 OS Homo sapiens GN RPS13 PE 1 SV 2,1,1,7.01,0.001946285,0.0068943,-1.31160271,0.955271503,10,1,Control,HCM,106.4106693,109.7396399,100.7629416,120.5224759,155.2185082,109.1106124,90.24952835,89.68853567,83.890697,105.9184419,72.23651846,94.84558051,80.82476956,83.8276448,101.7816597,104.8438609,72.80632866,x,,,HEART,PROT,HUMAN
ANXA2_HUMAN;AXA2L_HUMAN,Annexin A2 OS Homo sapiens GN ANXA2 PE 1 SV 2,11,10,66.92,0.001963248,0.0068943,-1.42755036,0.954881688,1;3;4;5;6;7;8,7,Control,HCM,2093.891329,1593.456119,1977.277762,2511.504329,3180.087055,2235.580251,1282.897404,1395.283306,1576.449865,1693.041148,2087.721665,1333.503257,1396.140734,1586.80449,1610.015658,1896.394586,1597.02991,x,,,HEART,PROT,HUMAN
HSDL2_HUMAN,Hydroxysteroid dehydrogenase like protein 2 OS Homo sapiens GN HSDL2 PE 1 SV 1,11,11,49.8,0.002087621,0.007206804,-1.33973375,0.952044345,5;6;7;8;9;10,6,Control,HCM,2304.574344,2166.828604,2025.192903,2588.171119,2183.75649,2172.488419,1384.223649,1396.705531,1417.732928,1686.038092,1748.294822,2018.778997,1375.555254,1814.514876,1788.046766,2418.962712,1344.245037,x,,,HEART,PROT,HUMAN
COX5A_HUMAN,Cytochrome c oxidase subunit 5A mitochondrial OS Homo sapiens GN COX5A PE 1 SV 2,8,6,42.57,0.002290246,0.007774526,-1.67540514,0.947499505,4;5;6;8;10,5,Control,HCM,1528.770845,2185.867064,1319.281716,1565.441226,1680.840583,1225.081751,756.2619172,784.5333734,1188.729821,1024.699394,1379.410577,790.9355373,898.3461177,532.5813997,1557.755752,897.6123456,590.410478,x,x,,HEART,PROT,HUMAN
ATPG_HUMAN,ATP synthase subunit gamma mitochondrial OS Homo sapiens GN ATP5C1 PE 1 SV 1,12,10,78.44,0.002424234,0.007962764,-1.38036804,0.944546014,4;5;6;7;8;9;10,7,Control,HCM,3072.811721,4480.133554,2686.587419,3179.90108,4416.422071,3118.81601,2604.394417,2299.106287,2740.671687,2400.896863,2985.17662,3121.741694,2380.538768,1968.20993,2700.73016,2593.403336,2036.039978,x,,,HEART,PROT,HUMAN
USMG5_HUMAN,Up regulated during skeletal muscle growth protein 5 OS Homo sapiens GN USMG5 PE 1 SV 1,2,1,8.14,0.002879772,0.008618704,-1.44609928,0.934800866,3;4,2,Control,HCM,382.5764931,521.2562552,364.6174002,496.9191206,532.9036703,469.6829157,257.0791989,260.6435411,304.3007895,330.5059311,393.2513175,397.0664383,304.7584966,325.8185761,183.8638928,371.784306,380.0819743,x,,,HEART,PROT,HUMAN
A1AG1_HUMAN,Alpha 1 acid glycoprotein 1 OS Homo sapiens GN ORM1 PE 1 SV 1,23,15,114.07,0.002917154,0.008618704,-1.34288353,0.934020751,1;2;3;4;5;6;7;9;10,9,Control,HCM,2318.066102,3062.367648,2886.069523,3770.599655,2687.801307,4084.329658,2284.594122,2320.443874,2486.663458,2388.287911,2339.566414,2482.71971,2282.795712,1976.129611,1963.748255,2114.727564,3039.091914,x,,,HEART,PROT,HUMAN
COX2_HUMAN,Cytochrome c oxidase subunit 2 OS Homo sapiens GN MT CO2 PE 1 SV 1,3,3,7.85,0.002965431,0.008628453,-1.95868369,0.933017523,6;7;8;9;10,5,Control,HCM,2843.111556,6351.806486,3468.236697,2843.883957,5494.741992,4165.884023,1781.536665,1211.915348,2235.089746,1526.488974,3412.993762,2119.19997,1243.454215,1227.133947,3033.809891,1828.262098,3937.118915,x,x,,HEART,PROT,HUMAN
NDUS4_HUMAN,NADH dehydrogenase ubiquinone iron sulfur protein 4 mitochondrial OS Homo sapiens GN NDUFS4 PE 1,3,3,32.28,0.003186346,0.009140662,-1.42242246,0.928486705,1;5;6,3,Control,HCM,883.3410041,1102.744537,761.2490178,831.5979078,1249.079314,948.5500788,734.4204173,1043.990785,666.8870123,504.3262879,791.8462786,666.6486781,567.8317406,494.5220207,646.2859821,624.294933,704.2468965,x,,,HEART,PROT,HUMAN
CADH2_HUMAN,Cadherin 2 OS Homo sapiens GN CDH2 PE 1 SV 4,2,2,12.86,0.004946025,0.012751825,-1.79869474,0.895485433,6,1,Control,HCM,183.5610105,241.6472551,124.1367803,218.254458,242.7782023,155.4253286,113.1752985,83.64863532,158.7846599,91.25704009,113.3363683,128.4066868,161.141432,79.91500686,35.88727744,129.6448491,93.0563813,x,x,,HEART,PROT,HUMAN
NDUA8_HUMAN,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 8 OS Homo sapiens GN NDUFA8 PE 1 SV 3,1,1,7.13,0.006167249,0.015507779,-4.82104015,0.875229639,8,1,Control,HCM,79.67279116,83.05496066,16.73978494,31.49105263,74.28138113,23.03433314,17.54663235,0.19801374,7.875340928,1.390273525,24.54932366,17.16840068,25.18479108,19.37291094,0,0.803883425,3.140226341,x,x,x,HEART,PROT,HUMAN
NDUA9_HUMAN,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9 mitochondrial OS Homo sapiens GN NDUFA,4,4,33.36,0.006392858,0.015687729,-2.11297893,0.87168339,8;10;12,3,Control,HCM,456.030372,699.4010752,198.829109,438.3304012,803.7028208,292.9639846,187.7632476,172.8204412,302.5407105,181.6529181,420.7813666,374.5830341,258.2500051,119.1256862,168.8476664,140.8224472,179.6867699,x,x,x,HEART,PROT,HUMAN
PYGM_HUMAN,Glycogen phosphorylase muscle form OS Homo sapiens GN PYGM PE 1 SV 6,8,3,45.98,0.006524101,0.015819199,-1.50007421,0.869646198,5;6;7;8,4,Control,HCM,400.8359646,434.2688848,259.4560083,432.7930985,632.1688199,468.2053507,283.8302452,339.9995752,275.6919111,347.4547908,190.7329193,355.3222315,258.5481996,224.3676682,238.8658009,399.3927642,297.3027127,x,x,,HEART,PROT,HUMAN
NDUS2_HUMAN,NADH dehydrogenase ubiquinone iron sulfur protein 2 mitochondrial OS Homo sapiens GN NDUFS2 PE 1,6,5,28.07,0.006844044,0.016399739,-1.34903600,0.864756586,4;5;6;10,4,Control,HCM,941.6380336,1242.398734,961.2285913,995.3325037,1583.619796,844.4186509,929.1145815,993.249922,973.3466518,705.0594763,788.1393285,881.1443487,755.7310675,649.5162021,799.4044865,653.736406,798.3022084,x,,,HEART,PROT,HUMAN
COX5B_HUMAN,Cytochrome c oxidase subunit 5B mitochondrial OS Homo sapiens GN COX5B PE 1 SV 2,7,5,38.59,0.008919003,0.020880465,-1.32780758,0.835383733,3;4;5;6;7,5,Control,HCM,4271.601679,3748.393917,3048.5467,3310.633149,5125.298574,3791.183876,2041.652792,3241.846273,2305.466836,3106.149094,3252.459151,2646.000319,3464.794317,2881.730409,3114.089228,3727.153659,2383.488716,x,,,HEART,PROT,HUMAN
CAV1_HUMAN,Caveolin 1 OS Homo sapiens GN CAV1 PE 1 SV 4,3,3,14.7,0.009492557,0.021970686,-1.57102181,0.827888562,4;5;6,3,Control,HCM,414.0863209,505.4437786,392.2347426,360.3806779,909.4537792,436.6899432,282.2774791,214.2117533,322.4189747,274.905078,435.2608027,436.4817697,365.124205,256.7010708,218.2298338,390.9949384,325.6432757,x,x,,HEART,PROT,HUMAN
