Protein IDs,Protein names,Gene names,TPA_WT1,TPA_WT2,TPA_WT3,TPA_WT4,TPA_ob1,TPA_ob2,TPA_ob3,TPA_ob4,Student's T-test Significant ob_lean,-Log Student's T-test p-value ob_lean,Student's T-test q-value ob_lean,Student's T-test Difference ob_lean,Student's T-test Test statistic ob_lean,Tissue,Ome,Species
Q62093,Serine/arginine-rich splicing factor 2,Srsf2,-13.18013191,-14.56784058,-14.2147398,-12.82051659,-12.79763508,-13.27444267,-13.9705143,-13.98435402,,0.142035928,0.835105326,0.189070702,0.312450436,LIVER,PROT,MOUSE
Q62095;A0A087WQV7,ATP-dependent RNA helicase DDX3Y,Ddx3y,-15.50702286,-15.72149181,-15.82271004,-14.6806488,-15.05139732,-15.46299839,-16.48646355,-15.07369232,,0.072249191,0.915039137,-0.085669518,-0.163326951,LIVER,PROT,MOUSE
Q62159;H3BL56;A0A0G2JEP8,Rho-related GTP-binding protein RhoC,Rhoc,-18.08367538,-18.06436729,-17.8575325,-21.55468178,-22.78826904,-22.2265873,-19.8501873,-16.92968369,,0.43329296,0.494243429,-1.558617592,-0.91467172,LIVER,PROT,MOUSE
Q62165,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,Dag1,-14.40943146,-14.74309635,-14.51136589,-14.85376167,-14.56665611,-15.22470665,-14.78563404,-14.39921379,,0.223430711,0.799969159,-0.114638805,-0.37476252,LIVER,PROT,MOUSE
Q62167;P16381;Q3V086;Q61496,ATP-dependent RNA helicase DDX3X;Putative ATP-dependent RNA helicase Pl10,Ddx3x;D1Pas1,-12.21252918,-12.12543106,-11.95886421,-11.51771259,-11.68611145,-12.00026989,-12.55443573,-12.34146786,,0.333133073,0.701180506,-0.19193697,-0.555230139,LIVER,PROT,MOUSE
Q62172,RalA-binding protein 1,Ralbp1,-18.14865303,-18.12513733,-17.90786171,-17.45519447,-15.51974201,-17.05168343,-17.54741287,-17.67247009,,0.943163589,0.24854818,0.961384535,1.55059753,LIVER,PROT,MOUSE
Q62189;D3Z0S6;F8VQ88;D6RI83,U1 small nuclear ribonucleoprotein A,Snrpa,-13.54158211,-13.78605652,-12.93144417,-13.66965961,-13.34624672,-13.42032051,-13.59113312,-13.58427334,,0.005539513,0.995714085,-0.003307819,-0.011034633,LIVER,PROT,MOUSE
Q62192,CD180 antigen,Cd180,-19.56402969,-19.22766113,-18.98125648,-20.39091682,-21.42017555,-20.54357338,-22.83081818,-18.97176933,,0.805808151,0.278484496,-1.400618076,-1.451959868,LIVER,PROT,MOUSE
Q62219-4;Q62219;E9Q1D5;Q62219-7;Q62219-10;Q62219-9;Q62219-5;Q62219-2;Q62219-3;Q62219-6,Transforming growth factor beta-1-induced transcript 1 protein,Tgfb1i1,-20.08577347,-20.03326416,-21.07522202,-21.84988403,-19.59997749,-21.26965141,-19.90178299,-19.26481247,,0.568995089,0.429230869,0.751979828,1.046471335,LIVER,PROT,MOUSE
Q62241,U1 small nuclear ribonucleoprotein C,Snrpc,-14.59239864,-14.20949078,-14.62582016,-17.05868912,-16.83805656,-14.23041916,-14.66887569,-14.64081192,,0.010347423,0.986815528,0.02705884,0.027623178,LIVER,PROT,MOUSE
Q62245;S4R2C4;A0A0A0MQ87;Q02384,Son of sevenless homolog 1,Sos1,-18.05682755,-18.27747726,-18.2446022,-18.21943474,-17.68701553,-19.45225525,-18.76834106,-18.05998421,,0.313311395,0.681773258,-0.292313576,-0.591838433,LIVER,PROT,MOUSE
Q62261-2,Spectrin beta chain. non-erythrocytic 1,Sptbn1,-16.21835709,-15.96752167,-16.00873375,-15.34792328,-15.39515495,-15.52100372,-14.95899105,-16.41260529,,0.38237309,0.625643041,0.313695192,0.684923896,LIVER,PROT,MOUSE
Q62261;A0A0A0MQG2;D3YWH8,Spectrin beta chain. non-erythrocytic 1,Sptbn1,-10.7885046,-10.67592812,-10.75796413,-10.82964039,-10.61223984,-10.55120087,-10.48597813,-10.60630322,,2.405595821,0.300494362,0.199078798,1.3840038,LIVER,PROT,MOUSE
Q62264,Thyroid hormone-inducible hepatic protein,Thrsp,-13.24126339,-13.74482822,-12.83493805,-12.10302544,-11.92550087,-11.81434059,-12.03125763,-12.10926533,,1.544166312,0.110847085,1.01092267,2.233134793,LIVER,PROT,MOUSE
Q62266;Q62267,Cornifin-A,Sprr1a,-19.12618446,-20.32877159,-19.74120712,-21.90456772,-11.23584652,-10.59808636,-11.73366356,-12.3126688,+,4.815748005,0.006857143,8.805116415,11.02465221,LIVER,PROT,MOUSE
Q62283;Q3UHG5,Tetraspanin-7;Tetraspanin,Tspan7,-17.05825233,-17.12470818,-16.92797089,-16.3163414,-16.66079712,-16.41201401,-19.50837708,-16.7044735,,0.251186623,0.704561302,-0.464597225,-0.543526649,LIVER,PROT,MOUSE
Q62293;Q3T9E4;Q5SVP4,,Tgtp1,-17.55716705,-17.4197998,-17.21316719,-17.93124008,-18.08256531,-19.48575783,-20.22629929,-17.46766281,,1.020793895,0.208010185,-1.285227776,-1.713971545,LIVER,PROT,MOUSE
Q62311;D3Z0T0;D3Z5H6;S4R1R2,Transcription initiation factor TFIID subunit 6,Taf6,-19.88062859,-16.29395866,-13.53919411,-19.99851799,-19.59634781,-19.00873184,-16.53595734,-19.6220665,,0.309508119,0.61971065,-1.262701035,-0.694136375,LIVER,PROT,MOUSE
Q62313;Q62314,Trans-Golgi network integral membrane protein 1;Trans-Golgi network integral membrane protein 2,Tgoln1;Tgoln2,-15.46408081,-15.45327663,-15.49475384,-15.56294727,-14.73207664,-14.56125736,-14.82143497,-15.20534801,,2.519856383,0.05671619,0.66373539,2.783337879,LIVER,PROT,MOUSE
Q62318;Q62318-2,Transcription intermediary factor 1-beta,Trim28,-12.81515217,-12.94054604,-12.78395653,-12.10493755,-12.56668091,-12.94568062,-13.13047504,-13.03920174,,0.531863293,0.562898551,-0.259361506,-0.79679544,LIVER,PROT,MOUSE
Q62347;Q01147-2;Q01147;A0A087WRI6;D3Z7P7;D3Z326;F6VJ22;D3Z6A5;P27699-11;F6QWT6;F6U9F5;P27699-10;P27699-2;P27699-8;F6Q346;P27699-7;F6W4F5;E9PWV9;P27699-6;D3Z7M6;F6QKL8;D3Z2U7;P27699-5;P81269,Cyclic AMP-responsive element-binding protein 1,Creb1,-16.93835449,-17.2238636,-17.0949192,-17.96190071,-20.45581818,-18.15012169,-17.54275131,-17.31908226,,0.681829697,0.346190439,-1.062183857,-1.245211208,LIVER,PROT,MOUSE
Q62348,Translin,Tsn,-15.08973598,-14.70659065,-14.97061253,-15.5223341,-15.16584778,-15.20739269,-14.47083569,-14.23928642,,0.454903003,0.585570356,0.301477671,0.75736677,LIVER,PROT,MOUSE
Q62351;Q8C872,Transferrin receptor protein 1,Tfrc,-16.00307465,-16.23139572,-15.62154102,-15.50804424,-15.62438774,-16.18878555,-16.23182869,-16.0429039,,0.359110921,0.693681934,-0.180962563,-0.569822718,LIVER,PROT,MOUSE
Q62376;A0A1B0GRR8;Q62376-2;A0A1B0GR69;A0A1B0GR44;A0A1B0GRV8;A0A1B0GSX5;A0A1B0GR50,U1 small nuclear ribonucleoprotein 70 kDa,Snrnp70,-15.07807636,-14.49129391,-14.30826664,-14.64283752,-15.04930687,-14.54220104,-14.5046196,-14.7322731,,0.141716359,0.869091743,-0.076981544,-0.251509497,LIVER,PROT,MOUSE
Q62383,Transcription elongation factor SPT6,Supt6h,-16.8359375,-16.52991104,-16.62228584,-18.05466843,-19.94215584,-20.50966454,-18.06521797,-17.17445946,,1.170050559,0.152841367,-1.912173748,-1.994204027,LIVER,PROT,MOUSE
Q62384;F8WHU9,Zinc finger protein ZPR1,Zpr1,-15.20106983,-15.12074471,-15.31237316,-15.22444725,-15.00428867,-15.51346588,-15.48629189,-15.49612713,,0.580185049,0.617986285,-0.160384655,-0.697805474,LIVER,PROT,MOUSE
Q62392,Pleckstrin homology-like domain family A member 1,Phlda1,-15.55357075,-14.84678555,-15.06151009,-15.87874413,-18.71185112,-19.27684021,-20.52209091,-17.71295738,+,2.976398578,0.0095,-3.72078228,-5.090429192,LIVER,PROT,MOUSE
Q62418-3;Q62418-2;Q62418,Drebrin-like protein,Dbnl,-13.23884869,-13.13893414,-13.32535744,-12.93632126,-12.8338213,-12.85847664,-13.08305836,-13.53754711,,0.172882408,0.849855121,0.081639528,0.288203,LIVER,PROT,MOUSE
Q62419;Q8BXU5;A2ALV3;Q62420;F6ZL13;A2ALV1,Endophilin-A2,Sh3gl1,-15.984828,-16.36894798,-15.74130917,-18.15467644,-16.31088829,-15.23884583,-15.43165207,-15.81074429,,0.706404117,0.346640279,0.864407778,1.243457229,LIVER,PROT,MOUSE
Q62422,Osteoclast-stimulating factor 1,Ostf1,-13.6978054,-13.59162617,-13.49005985,-17.67507744,-16.06415558,-14.41586208,-13.55069542,-13.68349266,,0.055603359,0.926443055,0.18509078,0.145364647,LIVER,PROT,MOUSE
Q62425;A0A0N4SVQ1,Cytochrome c oxidase subunit NDUFA4,Ndufa4,-10.39387608,-10.70706272,-10.73674488,-10.45983601,-10.52038002,-10.26342297,-10.48608208,-10.92609882,,0.054906664,0.952407391,0.025383949,0.096575464,LIVER,PROT,MOUSE
Q62426,Cystatin-B,Cstb,-13.50717258,-13.15380669,-13.46568108,-12.96770191,-12.56074142,-12.03149891,-12.28904057,-12.34694386,+,2.910890247,0.02018677,0.966534376,3.596868941,LIVER,PROT,MOUSE
Q62433;E9Q514;E9Q0J8;E9PZC7;E9Q7G8;E9Q147;E9Q7V2;E9Q5I8;E9Q3F9;E9PVF3,Protein NDRG1,Ndrg1,-18.1894455,-17.02414894,-16.68269539,-15.15549088,-15.85214806,-16.61283875,-17.12233734,-16.26443672,,0.17074423,0.795468451,0.300004959,0.384186677,LIVER,PROT,MOUSE
Q62446;A0A1Y7VLK0;A0A1Y7VMJ9;A0A1Y7VP01;A0A1Y7VJ86,Peptidyl-prolyl cis-trans isomerase FKBP3,Fkbp3,-13.06409168,-12.78351879,-12.95890999,-13.24189186,-13.92101955,-13.68281937,-13.69441414,-12.77969933,,0.960458333,0.305106952,-0.507385015,-1.370409803,LIVER,PROT,MOUSE
Q62448;Q62448-2;G3XA17;F7CBP1;F6TW20;F7DAB1;F6UU81,Eukaryotic translation initiation factor 4 gamma 2,Eif4g2,-13.30697155,-13.40880489,-13.32455349,-12.26142216,-13.05949116,-13.16452312,-12.94482803,-12.74971104,,0.125310066,0.870806272,0.095799685,0.247951267,LIVER,PROT,MOUSE
Q62452;E9PXN7,UDP-glucuronosyltransferase 1-9,Ugt1a9;Ugt1a10,-15.02726746,-14.16860294,-14.48856831,-16.01566505,-15.07734871,-15.41838741,-13.33443069,-13.43057346,,0.395120641,0.568221711,0.60984087,0.784553117,LIVER,PROT,MOUSE
Q62463,Vasopressin V1a receptor,Avpr1a,-20.43961716,-20.49640465,-19.92250824,-18.95162392,-21.36919403,-20.70167923,-20.88815117,-21.6502285,,1.543749883,0.10185766,-1.199774742,-2.313103392,LIVER,PROT,MOUSE
Q62465,Synaptic vesicle membrane protein VAT-1 homolog,Vat1,-14.08753204,-13.9538784,-13.96244812,-14.5112009,-14.41315937,-14.40235329,-13.18093491,-13.94620228,,0.17503855,0.817596221,0.143102407,0.342538829,LIVER,PROT,MOUSE
Q62470-3;Q62470;Q62470-2;F6UD16,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,Itga3,-19.66357803,-21.65206718,-20.09763336,-17.89844131,-18.55779266,-18.07205582,-18.91967964,-19.87641525,,0.519467448,0.444350265,0.97144413,1.010710212,LIVER,PROT,MOUSE
Q62481,Vacuolar protein sorting-associated protein 72 homolog,Vps72,-23.0433445,-22.16250038,-21.04141045,-22.07638168,-20.41405487,-20.25141335,-21.79616928,-20.43356705,,1.325951242,0.132464567,1.357108116,2.103415609,LIVER,PROT,MOUSE
Q62523;Q7TQE2;A0A0N4SVP4;A0A0N4SVD2;A0A0N4SUX7,Zyxin,Zyx,-15.6328373,-15.36142159,-15.45897007,-15.2345562,-14.73311329,-14.61865997,-15.36868477,-14.83233261,,1.545730346,0.178390244,0.533748627,1.866016374,LIVER,PROT,MOUSE
Q63739,Protein tyrosine phosphatase type IVA 1,Ptp4a1,-20.3400631,-22.20335007,-21.56846237,-19.08813858,-18.80975151,-19.07085228,-20.71816254,-20.62111473,,0.54110235,0.430809278,0.995033264,1.04410461,LIVER,PROT,MOUSE
Q63810-2;Q63810,Calcineurin subunit B type 1,Ppp3r1,-17.14387321,-17.11138344,-16.88539886,-17.3683567,-19.59661102,-17.72506905,-16.7892971,-18.21604347,,0.798784043,0.303630659,-0.954502106,-1.376251789,LIVER,PROT,MOUSE
Q63829,COMM domain-containing protein 3,Commd3,-16.34204483,-16.0105896,-16.91739464,-16.22486115,-15.81651878,-16.24649239,-16.10861397,-16.50643158,,0.366794643,0.677406957,0.204208374,0.598430115,LIVER,PROT,MOUSE
Q63836,Selenium-binding protein 2,Selenbp2,-19.93359566,-18.55602837,-19.29378128,-21.44182587,-20.08467674,-21.75881767,-20.89717865,-18.46127129,,0.211066694,0.741272443,-0.494178295,-0.478739364,LIVER,PROT,MOUSE
Q63844;D3Z3G6;A0A0U1RPX4;A0A0U1RPZ0;D3Z6D8,Mitogen-activated protein kinase 3;Mitogen-activated protein kinase,Mapk3,-16.57085228,-16.41190147,-16.37910461,-16.36670303,-16.06236839,-16.10733986,-15.34960842,-16.26864624,,1.224094642,0.245070453,0.485149622,1.568117532,LIVER,PROT,MOUSE
Q63850;A0A140LJH5;A0A140LJ77,Nuclear pore glycoprotein p62,Nup62,-16.0308075,-15.40505505,-15.54751205,-17.07986259,-16.66490173,-16.9402523,-15.56979275,-16.02266884,,0.233886273,0.740578247,-0.283594608,-0.480894319,LIVER,PROT,MOUSE
Q63880-2;Q63880,Carboxylesterase 3A,Ces3a,-9.683632851,-9.535559654,-9.510956764,-9.713899612,-10.87043285,-11.43243217,-12.15780926,-11.40012074,+,3.334185318,0.009758242,-1.854186535,-5.020690833,LIVER,PROT,MOUSE
Q63886,UDP-glucuronosyltransferase 1-1,Ugt1a1,-9.932807922,-9.622168541,-9.651910782,-11.18271828,-11.34793663,-11.48219681,-10.41136456,-10.18605423,,0.759595202,0.334547078,-0.759486675,-1.281964785,LIVER,PROT,MOUSE
Q63918,Serum deprivation-response protein,Sdpr,-13.99360275,-14.10282993,-13.76729965,-13.08071899,-13.1986618,-12.93143368,-13.52571201,-13.51097012,,0.822657925,0.36414382,0.44441843,1.202242213,LIVER,PROT,MOUSE
Q63ZW7;A2ADS6;Q63ZW7-6;Q63ZW7-2;A2ADS8;Q63ZW7-5;F6RSZ8;A2ADT1;Q63ZW7-4;Q63ZW7-3,InaD-like protein,Inadl,-18.33939171,-19.16087532,-18.51123619,-18.67395973,-18.12010574,-17.43283463,-17.72708893,-18.12365723,,1.821150432,0.092616993,0.820444107,2.387361673,LIVER,PROT,MOUSE
Q64010;Q8JZR2;Q5ND50;Q64010-2;F7D232;Q3TQV3,Adapter molecule crk,Crk,-15.19916344,-15.11221218,-15.24776554,-14.85642147,-14.53247261,-15.02990532,-15.08552647,-15.02643871,,0.553150839,0.604663434,0.18530488,0.723823024,LIVER,PROT,MOUSE
Q640M1;Q640M1-2;E9Q9S3;Q6EJB6,U3 small nucleolar RNA-associated protein 14 homolog A,Utp14a,-18.72338867,-18.7306366,-19.52813721,-18.77144814,-20.33847237,-19.501894,-20.55563545,-20.08959579,+,2.114413667,0.048252252,-1.18299675,-2.951822577,LIVER,PROT,MOUSE
Q640N1;Q640N1-2,Adipocyte enhancer-binding protein 1,Aebp1,-23.3787365,-21.29149246,-21.71932602,-21.75392151,-21.03462219,-19.90021515,-20.70590782,-22.2647438,,0.778923233,0.305113292,1.05949688,1.371014818,LIVER,PROT,MOUSE
Q64105,Sepiapterin reductase,Spr,-18.12174606,-19.80906868,-18.05315399,-21.37137032,-18.58017159,-17.90095329,-22.07067871,-17.90971184,,0.062283512,0.915383241,0.223455906,0.162792968,LIVER,PROT,MOUSE
Q64133,Amine oxidase [flavin-containing] A,Maoa,-14.66139889,-15.07701397,-14.86596203,-14.00733376,-15.9594183,-15.10902214,-14.78398895,-14.01259804,,0.279617114,0.701238294,-0.313329697,-0.554844478,LIVER,PROT,MOUSE
Q64152;Q64152-2,Transcription factor BTF3,Btf3,-12.17543888,-12.32243443,-12.30924606,-12.53416729,-12.57728386,-12.55775547,-13.58965015,-12.53068066,,0.900367636,0.329861614,-0.47852087,-1.296143804,LIVER,PROT,MOUSE
Q64191;B7ZNK6,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain,Aga,-15.87120152,-16.11750031,-16.40229797,-14.879179,-14.9951849,-14.44994354,-15.37624931,-15.980093,,0.638509273,0.407865169,0.61717701,1.098508866,LIVER,PROT,MOUSE
Q64261;A0A0G2JGA8;A0A0G2JGH2,Cyclin-dependent kinase 6,Cdk6,-16.79873657,-16.45967865,-17.88364601,-15.65148067,-15.45612717,-14.667449,-15.81649399,-16.18280602,,1.075129215,0.198944966,1.167666435,1.756885821,LIVER,PROT,MOUSE
Q64282;Q3U687;E9PXF7;D3Z6F0,Interferon-induced protein with tetratricopeptide repeats 1,Ifit1,-17.30302811,-18.24754524,-17.43299294,-17.60091782,-17.5198307,-17.58865738,-19.32129288,-18.16365623,,0.490790243,0.511167552,-0.502238274,-0.886599186,LIVER,PROT,MOUSE
Q642K5;P62862,40S ribosomal protein S30,Fau,-13.95984554,-13.51514053,-13.61388969,-15.56157875,-14.80389404,-14.54825783,-13.81067562,-13.41122818,,0.011185803,0.986664587,0.019099712,0.028302005,LIVER,PROT,MOUSE
Q64310;E0CXD9;F7CH13,Surfeit locus protein 4,Surf4,-12.588027,-11.87933731,-12.08235073,-16.77004433,-15.78457928,-17.08765793,-14.19875431,-12.43556976,,0.453759926,0.476142521,-1.546700478,-0.947535792,LIVER,PROT,MOUSE
Q64314-2;Q64314,Hematopoietic progenitor cell antigen CD34,Cd34,-20.49120712,-19.58042717,-19.60087204,-20.65485954,-21.81625366,-20.40530968,-18.94820404,-23.53190613,,0.488015679,0.461274101,-1.093576908,-0.976011717,LIVER,PROT,MOUSE
Q64321;D3Z2X8;D3Z0B5;D3YZR6,Zinc finger and BTB domain-containing protein 7B,Zbtb7b,-20.85186386,-22.25210571,-21.25027275,-17.92718315,-19.92265129,-19.04113007,-20.62469292,-20.97891998,,0.161283783,0.797112435,0.428507805,0.381694833,LIVER,PROT,MOUSE
Q64327,Male-enhanced antigen 1,Mea1,-20.53866577,-21.58318138,-20.50172997,-19.15488243,-21.4882946,-19.45763588,-20.40770721,-22.88685036,,0.288496501,0.661941567,-0.615507126,-0.622297738,LIVER,PROT,MOUSE
Q64337-2;D3YZJ1;F6VD69,Sequestosome-1,Sqstm1,-15.67346382,-16.14996719,-15.70596218,-15.1767025,-14.54929256,-15.37237644,-14.91234303,-15.60057259,,0.940414572,0.298417502,0.567877769,1.392118293,LIVER,PROT,MOUSE
Q64339,Ubiquitin-like protein ISG15,Isg15,-16.8209343,-17.17665482,-17.33118629,-20.31259537,-22.1777401,-21.26589203,-17.8679142,-17.67038155,,0.617790942,0.358506243,-1.835139275,-1.214540464,LIVER,PROT,MOUSE
Q64345;E9PV48,Interferon-induced protein with tetratricopeptide repeats 3,Ifit3;I830012O16Rik,-17.65608788,-17.22078514,-17.0269165,-16.54116249,-15.88922215,-16.24596405,-18.27999496,-17.15237045,,0.143263457,0.8301911,0.2193501,0.321846771,LIVER,PROT,MOUSE
Q64374,Regucalcin,Rgn,-8.122563362,-8.241215706,-8.175286293,-7.617280483,-8.727986336,-8.689184189,-9.138203621,-8.895232201,+,2.475021351,0.046447059,-0.823565125,-2.989583131,LIVER,PROT,MOUSE
Q64378;B8JJC2,Peptidyl-prolyl cis-trans isomerase FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5. N-terminally processed,Fkbp5,-14.40036201,-14.138237,-14.65651703,-14.11840343,-13.73259544,-13.93004131,-14.1723032,-14.74572182,,0.303650089,0.718448651,0.183214426,0.518323156,LIVER,PROT,MOUSE
Q64433,10 kDa heat shock protein. mitochondrial,Hspe1,-9.593290329,-9.584172249,-9.872042656,-8.907030106,-9.519190788,-8.976053238,-9.482563019,-9.974844933,,0.001116412,0.999309497,0.00097084,0.002492777,LIVER,PROT,MOUSE
Q64435,UDP-glucuronosyltransferase 1-6,Ugt1a6,-14.47298622,-14.71860218,-14.12421131,-15.37393188,-15.908535,-15.60137558,-14.52704334,-14.11808777,,0.307534431,0.671202806,-0.366327524,-0.60910178,LIVER,PROT,MOUSE
Q64442,Sorbitol dehydrogenase,Sord,-8.487683296,-8.587586403,-8.581539154,-8.526568413,-8.433922768,-8.402152061,-8.662044525,-8.306302071,,0.55949483,0.711330354,0.09473896,0.529215268,LIVER,PROT,MOUSE
Q64446;B1AQ57,Copper-transporting ATPase 2,Atp7b,-16.87572479,-16.77517128,-16.71476746,-16.73539925,-16.7259655,-15.73060131,-15.87743187,-16.89452934,,0.782291292,0.3736567,0.468133688,1.181552693,LIVER,PROT,MOUSE
Q64458;Q3UT49;H3BLM0,Cytochrome P450 2C29,Cyp2c29,-10.11924839,-9.800583839,-9.991796494,-9.97521019,-10.29984951,-11.68762302,-10.32773495,-11.09296322,,1.38434447,0.152304694,-0.880332947,-2.000578085,LIVER,PROT,MOUSE
Q64459;Q9JMA7,Cytochrome P450 3A11,Cyp3a11,-10.07470608,-10.51550961,-10.41905499,-9.949678421,-9.88568306,-10.01830196,-10.25686073,-10.08769608,,0.526213787,0.619953784,0.177601814,0.694358259,LIVER,PROT,MOUSE
Q64462;F6X6A4;A0A0A6YY50,Cytochrome P450 4B1,Cyp4b1,-15.04578876,-15.84009743,-15.04580402,-14.39326286,-15.36016464,-14.91545105,-15.60883999,-15.35072327,,0.287931051,0.710556617,-0.227556467,-0.530131013,LIVER,PROT,MOUSE
Q64464,Cytochrome P450 3A13,Cyp3a13,-11.76284599,-11.13384247,-11.71502113,-12.39521217,-12.6334877,-13.12844467,-12.47094059,-11.7669735,,1.010310176,0.248116004,-0.748231173,-1.553341536,LIVER,PROT,MOUSE
Q64471;D3Z3X5;D3Z5W7,Glutathione S-transferase theta-1,Gstt1,-11.3338995,-11.1624651,-11.19855976,-11.94660854,-12.22844028,-12.26727104,-11.46978188,-10.70844555,,0.256717037,0.725958615,-0.258101463,-0.504498706,LIVER,PROT,MOUSE
Q64505,Cholesterol 7-alpha-monooxygenase,Cyp7a1,-15.81836796,-16.07570839,-15.77587605,-17.25377464,-18.48390961,-19.8901329,-19.38113976,-17.7118206,+,2.356289747,0.015605381,-2.635818958,-3.795750119,LIVER,PROT,MOUSE
Q64511;F6U5K2,DNA topoisomerase 2-beta,Top2b,-13.1191988,-12.89194775,-12.72601986,-12.88275528,-12.85249996,-14.51879406,-14.58418655,-13.54544735,,1.209286826,0.180327573,-0.97025156,-1.85413233,LIVER,PROT,MOUSE
Q64514-2,Tripeptidyl-peptidase 2,Tpp2,-11.64891148,-11.87594414,-11.65043163,-11.38075638,-11.49924755,-11.59059715,-11.62276077,-11.59378147,,0.241806595,0.840894575,0.062414169,0.304833593,LIVER,PROT,MOUSE
Q64514;A0A087WRC0;Q05DJ9;A0A087WQR6;A0A087WP19,Tripeptidyl-peptidase 2,Tpp2,-18.17203712,-18.45967865,-18.10957336,-19.35329628,-22.43377876,-22.28831482,-17.7109127,-17.76842499,,0.514110537,0.430943445,-1.526711464,-1.042163731,LIVER,PROT,MOUSE
Q64516-1;B1ASZ3;Q64516-2;Q64516;Q9WU65;Q8C635,Glycerol kinase,Gk;Gyk,-11.2442627,-11.73662949,-11.46605492,-11.30752659,-10.50429535,-10.43536377,-10.56124783,-10.48671532,+,3.795211427,0.010941176,0.941712856,4.425939683,LIVER,PROT,MOUSE
Q64520;E9Q7K1;Q564G0;G3UYV3,Guanylate kinase,Guk1,-14.61257172,-14.69125843,-15.06813049,-13.63090324,-13.93625832,-14.03968048,-14.86900234,-14.46602535,,0.180616364,0.804884622,0.172974348,0.365168339,LIVER,PROT,MOUSE
Q64521;A2AQR0,Glycerol-3-phosphate dehydrogenase. mitochondrial;Glycerol-3-phosphate dehydrogenase,Gpd2,-11.77035141,-11.56105518,-11.48081875,-13.32906818,-11.61567593,-11.54955387,-10.72606087,-10.76430893,,0.882860912,0.277289883,0.871423483,1.45630317,LIVER,PROT,MOUSE
Q64669,NAD(P)H dehydrogenase [quinone] 1,Nqo1,-17.00820541,-17.66189575,-17.05060959,-17.03947449,-13.43384933,-13.93804169,-13.26145077,-13.53467751,+,5.59421813,0.0096,3.648041487,11.64997825,LIVER,PROT,MOUSE
Q64674,Spermidine synthase,Srm,-13.30459785,-12.9355526,-13.09938717,-13.6926384,-14.54404354,-15.45077324,-14.51463795,-14.29757404,+,2.504389522,0.021083969,-1.443713188,-3.579021294,LIVER,PROT,MOUSE
Q64685,Beta-galactoside alpha-2.6-sialyltransferase 1,St6gal1,-16.70573997,-16.18816185,-16.2596302,-16.76907539,-16.91638374,-16.32362366,-16.11211586,-16.23938751,,0.134214588,0.870264422,0.082774162,0.248848316,LIVER,PROT,MOUSE
Q64707,U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,Zrsr1,-20.58734322,-19.49423409,-19.94017029,-21.38381958,-21.82821846,-20.38597488,-18.0962944,-19.22471619,,0.206616006,0.746099652,0.467590809,0.468287025,LIVER,PROT,MOUSE
Q64726,Zinc-alpha-2-glycoprotein,Azgp1,-14.41592598,-14.65307808,-14.42504311,-13.90199184,-14.55490303,-15.29005146,-14.86682796,-14.9573555,,1.385927735,0.195533981,-0.568274736,-1.779901514,LIVER,PROT,MOUSE
Q64727;A0A286YDJ4,Vinculin,Vcl,-10.47717094,-10.22179413,-10.16868877,-10.01639557,-9.924165726,-9.955163002,-10.30094814,-10.39761829,,0.196516665,0.841753443,0.076538563,0.301792498,LIVER,PROT,MOUSE
Q64737;Q64737-2;D6RCG1,Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase,Gart,-12.70132732,-12.69693279,-12.39649582,-12.66800785,-11.96543217,-12.20441723,-13.38543606,-13.19346237,,0.070844042,0.920394971,-0.07149601,-0.155138353,LIVER,PROT,MOUSE
Q64FW2;H3BJ51;H3BKK1;A0A0U1RPP6;F7CW61,All-trans-retinol 13.14-reductase,Retsat,-12.46354771,-12.33993435,-12.30181885,-12.38926411,-12.49387455,-12.30152702,-12.01106071,-11.59852028,,0.662030978,0.494186804,0.272395611,0.914524963,LIVER,PROT,MOUSE
Q66GT5,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Ptpmt1,-15.53218555,-15.2432766,-15.36159134,-14.6522789,-14.54040623,-16.0589962,-15.1449461,-15.07155895,,0.006032718,0.99313844,-0.006643772,-0.014176845,LIVER,PROT,MOUSE
Q66JT7,4-hydroxybenzoate polyprenyltransferase. mitochondrial,Coq2,-19.69783974,-20.16357422,-20.31003189,-19.05914116,-18.90152931,-19.22434425,-19.7249012,-19.81642914,,0.505070199,0.526939311,0.390845776,0.859830355,LIVER,PROT,MOUSE
Q66JX5-2;Q66JX5;F6UTB8,FGFR1 oncogene partner,Fgfr1op,-21.11914825,-20.65771675,-20.8484745,-18.14724922,-18.77492523,-19.17856216,-23.21781921,-21.4785099,,0.14295253,0.814812862,-0.469306946,-0.348505114,LIVER,PROT,MOUSE
