Uniprot ID,Entry name,Gene name,Protein name,SWATH_T2D,SWATH_IGT,SWATH_IFG,SWATH_NGT,ANOVA_p-value,ANOVA_q-value,Tissue,Ome,Species
Q12907,LMAN2_HUMAN,LMAN2,Vesicular integral-membrane protein VIP36,6.32E+04,1.13E+05,1.04E+05,1.45E+05,4.44E-02,1.27E-01,SKM-VL,PROT,HUMAN
Q9NZU5,LMCD1_HUMAN,LMCD1,LIM and cysteine-rich domains protein 1,2.87E+06,2.96E+06,3.03E+06,3.17E+06,3.90E-01,5.55E-01,SKM-VL,PROT,HUMAN
P02545,LMNA_HUMAN,LMNA,Prelamin-A/C,2.89E+06,2.68E+06,2.75E+06,2.85E+06,5.98E-01,7.25E-01,SKM-VL,PROT,HUMAN
P20700,LMNB1_HUMAN,LMNB1,Lamin-B1,3.38E+04,6.27E+04,5.91E+04,6.15E+04,2.35E-02,8.29E-02,SKM-VL,PROT,HUMAN
Q03252,LMNB2_HUMAN,LMNB2,Lamin-B2,6.26E+05,6.73E+05,6.93E+05,7.36E+05,3.54E-01,5.24E-01,SKM-VL,PROT,HUMAN
Q8WWI1,LMO7_HUMAN,LMO7,LIM domain only protein 7,9.09E+04,9.77E+04,8.12E+04,9.90E+04,5.39E-01,6.77E-01,SKM-VL,PROT,HUMAN
P29536,LMOD1_HUMAN,LMOD1,Leiomodin-1,3.31E+04,4.65E+04,3.91E+04,4.34E+04,1.51E-01,2.94E-01,SKM-VL,PROT,HUMAN
Q6P5Q4,LMOD2_HUMAN,LMOD2,Leiomodin-2,1.39E+05,1.53E+05,1.60E+05,1.69E+05,5.07E-01,6.50E-01,SKM-VL,PROT,HUMAN
Q0VAK6,LMOD3_HUMAN,LMOD3,Leiomodin-3,4.31E+05,4.94E+05,4.82E+05,5.23E+05,1.10E-03,9.30E-03,SKM-VL,PROT,HUMAN
Q9C0E8,LNP_HUMAN,LNPK,Endoplasmic reticulum junction formation protein lunapark,7.34E+04,1.14E+05,6.86E+04,9.97E+04,2.34E-01,4.03E-01,SKM-VL,PROT,HUMAN
P36776,LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial",4.81E+05,5.54E+05,5.42E+05,6.07E+05,1.50E-02,6.17E-02,SKM-VL,PROT,HUMAN
P42704,LPPRC_HUMAN,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",7.12E+05,8.24E+05,7.70E+05,9.01E+05,7.88E-03,3.98E-02,SKM-VL,PROT,HUMAN
A6NHZ5,LR14B_HUMAN,LRRC14B,Leucine-rich repeat-containing protein 14B,5.19E+03,5.66E+03,8.35E+03,6.43E+03,1.83E-01,3.38E-01,SKM-VL,PROT,HUMAN
Q8TCA0,LRC20_HUMAN,LRRC20,Leucine-rich repeat-containing protein 20,3.88E+05,4.75E+05,4.60E+05,4.91E+05,1.36E-02,5.78E-02,SKM-VL,PROT,HUMAN
Q96DD0,LRC39_HUMAN,LRRC39,Leucine-rich repeat-containing protein 39,1.19E+04,1.26E+04,1.14E+04,1.00E+04,5.91E-01,7.19E-01,SKM-VL,PROT,HUMAN
Q9H9A6,LRC40_HUMAN,LRRC40,Leucine-rich repeat-containing protein 40,3.69E+04,3.21E+04,3.32E+04,2.85E+04,6.48E-01,7.61E-01,SKM-VL,PROT,HUMAN
Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,1.34E+06,1.50E+06,1.43E+06,1.48E+06,7.35E-02,1.80E-01,SKM-VL,PROT,HUMAN
Q96AG4,LRC59_HUMAN,LRRC59,Leucine-rich repeat-containing protein 59,2.65E+04,2.48E+04,3.12E+04,3.58E+04,1.75E-01,3.25E-01,SKM-VL,PROT,HUMAN
Q9BYS8,LRRC2_HUMAN,LRRC2,Leucine-rich repeat-containing protein 2,3.04E+05,3.48E+05,4.92E+05,6.76E+05,1.94E-01,3.51E-01,SKM-VL,PROT,HUMAN
Q32MZ4,LRRF1_HUMAN,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,7.00E+04,1.03E+05,7.46E+04,9.16E+04,1.29E-01,2.67E-01,SKM-VL,PROT,HUMAN
Q14767,LTBP2_HUMAN,LTBP2,Latent-transforming growth factor beta-binding protein 2,1.57E+05,6.70E+04,4.93E+04,6.15E+04,9.40E-03,4.48E-02,SKM-VL,PROT,HUMAN
Q9UHA4,LTOR3_HUMAN,LAMTOR3,Ragulator complex protein LAMTOR3,4.71E+04,4.06E+04,5.09E+04,7.02E+04,1.44E-01,2.87E-01,SKM-VL,PROT,HUMAN
P51884,LUM_HUMAN,LUM,Lumican,8.14E+05,8.88E+05,8.26E+05,1.07E+06,1.02E-02,4.71E-02,SKM-VL,PROT,HUMAN
P10253,LYAG_HUMAN,GAA,Lysosomal alpha-glucosidase,5.22E+04,8.85E+04,1.96E+05,1.26E+05,2.30E-04,2.95E-03,SKM-VL,PROT,HUMAN
O75608,LYPA1_HUMAN,LYPLA1,Acyl-protein thioesterase 1,1.96E+05,2.58E+05,2.48E+05,2.71E+05,2.89E-04,3.45E-03,SKM-VL,PROT,HUMAN
Q5U5X0,LYRM7_HUMAN,LYRM7,Complex III assembly factor LYRM7,5.77E+04,7.61E+04,6.68E+04,8.99E+04,6.10E-06,1.84E-04,SKM-VL,PROT,HUMAN
P61626,LYSC_HUMAN,LYZ,Lysozyme C,1.17E+04,1.95E+04,1.17E+04,1.18E+04,2.25E-01,3.93E-01,SKM-VL,PROT,HUMAN
Q8WZA0,LZIC_HUMAN,LZIC,Protein LZIC,5.59E+04,6.23E+04,4.25E+04,4.49E+04,7.67E-01,8.48E-01,SKM-VL,PROT,HUMAN
Q02978,M2OM_HUMAN,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,3.41E+06,3.48E+06,3.74E+06,4.33E+06,1.39E-05,3.32E-04,SKM-VL,PROT,HUMAN
Q9NYL2,M3K20_HUMAN,MAP3K20,Mitogen-activated protein kinase kinase kinase 20,3.19E+05,3.41E+05,3.27E+05,3.57E+05,3.90E-01,5.55E-01,SKM-VL,PROT,HUMAN
Q9NTJ4,MA2C1_HUMAN,MAN2C1,Alpha-mannosidase 2C1,2.59E+05,2.86E+05,2.27E+05,2.88E+05,4.05E-01,5.70E-01,SKM-VL,PROT,HUMAN
O43708,MAAI_HUMAN,GSTZ1,Maleylacetoacetate isomerase,8.75E+04,1.08E+05,9.97E+04,1.15E+05,6.70E-02,1.71E-01,SKM-VL,PROT,HUMAN
Q9BQ69,MACD1_HUMAN,MACROD1,ADP-ribose glycohydrolase MACROD1,9.66E+05,1.22E+06,1.08E+06,1.20E+06,6.92E-09,1.75E-06,SKM-VL,PROT,HUMAN
Q8WWC4,MAIP1_HUMAN,MAIP1,"m-AAA protease-interacting protein 1, mitochondrial",7.29E+04,9.57E+04,7.88E+04,9.24E+04,7.23E-01,8.16E-01,SKM-VL,PROT,HUMAN
P23368,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial",2.60E+05,2.83E+05,3.10E+05,2.62E+05,6.84E-01,7.86E-01,SKM-VL,PROT,HUMAN
Q16798,MAON_HUMAN,ME3,"NADP-dependent malic enzyme, mitochondrial",5.58E+04,5.07E+04,4.09E+04,5.65E+04,4.23E-01,5.83E-01,SKM-VL,PROT,HUMAN
P48163,MAOX_HUMAN,ME1,NADP-dependent malic enzyme,3.50E+05,3.89E+05,3.75E+05,3.88E+05,7.93E-01,8.67E-01,SKM-VL,PROT,HUMAN
P78559,MAP1A_HUMAN,MAP1A,Microtubule-associated protein 1A,2.09E+07,1.62E+07,2.01E+07,1.35E+07,1.49E-02,6.16E-02,SKM-VL,PROT,HUMAN
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4,1.47E+06,1.45E+06,1.40E+06,1.49E+06,9.23E-01,9.52E-01,SKM-VL,PROT,HUMAN
Q969Z3,MARC2_HUMAN,MTARC2,Mitochondrial amidoxime reducing component 2,8.94E+04,9.79E+04,9.66E+04,9.27E+04,9.72E-01,9.81E-01,SKM-VL,PROT,HUMAN
Q15555,MARE2_HUMAN,MAPRE2,Microtubule-associated protein RP/EB family member 2,2.31E+04,2.41E+04,2.58E+04,2.70E+04,8.96E-01,9.36E-01,SKM-VL,PROT,HUMAN
Q9NX47,MARH5_HUMAN,MARCHF5,E3 ubiquitin-protein ligase MARCHF5,2.41E+04,1.55E+04,1.82E+04,1.81E+04,4.77E-01,6.26E-01,SKM-VL,PROT,HUMAN
P43243,MATR3_HUMAN,MATR3,Matrin-3,8.40E+04,1.08E+05,6.96E+04,9.37E+04,2.25E-02,8.08E-02,SKM-VL,PROT,HUMAN
Q7Z434,MAVS_HUMAN,MAVS,Mitochondrial antiviral-signaling protein,6.47E+04,4.52E+04,5.73E+04,7.10E+04,1.17E-01,2.50E-01,SKM-VL,PROT,HUMAN
Q5VZF2,MBNL2_HUMAN,MBNL2,Muscleblind-like protein 2,8.38E+04,7.17E+04,7.61E+04,8.81E+04,6.77E-01,7.82E-01,SKM-VL,PROT,HUMAN
Q6P1A2,MBOA5_HUMAN,LPCAT3,Lysophospholipid acyltransferase 5,1.81E+05,1.86E+05,1.10E+05,9.99E+04,1.75E-02,6.91E-02,SKM-VL,PROT,HUMAN
P02686,MBP_HUMAN,MBP,Myelin basic protein,9.76E+04,1.11E+05,1.12E+05,1.20E+05,5.38E-01,6.76E-01,SKM-VL,PROT,HUMAN
O43772,MCAT_HUMAN,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,4.12E+05,4.48E+05,3.12E+05,3.56E+05,2.55E-01,4.27E-01,SKM-VL,PROT,HUMAN
Q96RQ3,MCCA_HUMAN,MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",1.53E+04,2.14E+04,2.21E+04,2.47E+04,3.53E-01,5.23E-01,SKM-VL,PROT,HUMAN
Q9HCC0,MCCB_HUMAN,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",2.19E+05,2.61E+05,2.65E+05,3.18E+05,1.29E-03,1.02E-02,SKM-VL,PROT,HUMAN
Q96PE7,MCEE_HUMAN,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",8.17E+04,7.70E+04,8.73E+04,1.20E+05,1.12E-03,9.30E-03,SKM-VL,PROT,HUMAN
Q9ULC4,MCTS1_HUMAN,MCTS1,Malignant T-cell-amplified sequence 1,1.03E+05,1.44E+05,1.22E+05,1.60E+05,1.14E-03,9.32E-03,SKM-VL,PROT,HUMAN
Q8NE86,MCU_HUMAN,MCU,"Calcium uniporter protein, mitochondrial",4.26E+05,5.51E+05,4.86E+05,5.30E+05,2.49E-02,8.59E-02,SKM-VL,PROT,HUMAN
P40925,MDHC_HUMAN,MDH1,"Malate dehydrogenase, cytoplasmic",7.36E+06,8.42E+06,9.09E+06,9.36E+06,1.89E-02,7.27E-02,SKM-VL,PROT,HUMAN
P40926,MDHM_HUMAN,MDH2,"Malate dehydrogenase, mitochondrial",1.95E+07,1.90E+07,2.03E+07,2.27E+07,2.10E-04,2.76E-03,SKM-VL,PROT,HUMAN
P51608,MECP2_HUMAN,MECP2,Methyl-CpG-binding protein 2,5.32E+04,6.29E+04,5.71E+04,7.22E+04,8.49E-02,1.98E-01,SKM-VL,PROT,HUMAN
Q9BV79,MECR_HUMAN,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",1.99E+05,2.75E+05,2.52E+05,2.94E+05,1.03E-03,8.85E-03,SKM-VL,PROT,HUMAN
O95402,MED26_HUMAN,MED26,Mediator of RNA polymerase II transcription subunit 26,1.60E+04,1.49E+04,2.36E+04,1.91E+04,4.52E-01,6.05E-01,SKM-VL,PROT,HUMAN
Q9Y316,MEMO1_HUMAN,MEMO1,Protein MEMO1,1.23E+05,1.26E+05,1.42E+05,1.27E+05,6.48E-01,7.61E-01,SKM-VL,PROT,HUMAN
Q9BQA1,MEP50_HUMAN,WDR77,Methylosome protein 50,9.77E+04,9.44E+04,7.51E+04,9.01E+04,6.34E-01,7.52E-01,SKM-VL,PROT,HUMAN
Q9H8H3,MET7A_HUMAN,METTL7A,Methyltransferase-like protein 7A,5.35E+05,5.46E+05,4.16E+05,4.41E+05,3.65E-02,1.12E-01,SKM-VL,PROT,HUMAN
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2,1.05E+05,1.34E+05,9.69E+04,1.21E+05,1.57E-01,3.02E-01,SKM-VL,PROT,HUMAN
P55083,MFAP4_HUMAN,MFAP4,Microfibril-associated glycoprotein 4,1.47E+05,1.59E+05,1.47E+05,2.01E+05,2.80E-02,9.21E-02,SKM-VL,PROT,HUMAN
Q13361,MFAP5_HUMAN,MFAP5,Microfibrillar-associated protein 5,1.27E+05,1.56E+05,1.26E+05,1.71E+05,2.68E-02,8.98E-02,SKM-VL,PROT,HUMAN
Q8IWA4,MFN1_HUMAN,MFN1,Mitofusin-1,3.08E+04,3.31E+04,3.08E+04,2.83E+04,8.82E-01,9.25E-01,SKM-VL,PROT,HUMAN
O95140,MFN2_HUMAN,MFN2,Mitofusin-2,1.08E+04,1.36E+04,9.77E+03,1.34E+04,3.83E-01,5.49E-01,SKM-VL,PROT,HUMAN
Q14728,MFS10_HUMAN,MFSD10,Major facilitator superfamily domain-containing protein 10,8.23E+03,6.24E+03,4.01E+03,6.49E+03,4.30E-02,1.24E-01,SKM-VL,PROT,HUMAN
Q86V88,MGDP1_HUMAN,MDP1,Magnesium-dependent phosphatase 1,3.24E+04,4.73E+04,4.54E+04,4.41E+04,6.53E-01,7.62E-01,SKM-VL,PROT,HUMAN
O14880,MGST3_HUMAN,MGST3,Microsomal glutathione S-transferase 3,1.63E+06,1.79E+06,1.80E+06,1.76E+06,6.76E-01,7.81E-01,SKM-VL,PROT,HUMAN
Q5TGZ0,MIC10_HUMAN,MICOS10,MICOS complex subunit MIC10,7.61E+04,7.62E+04,7.30E+04,8.25E+04,8.82E-01,9.25E-01,SKM-VL,PROT,HUMAN
Q5XKP0,MIC13_HUMAN,MICOS13,MICOS complex subunit MIC13,1.27E+05,1.33E+05,1.05E+05,1.59E+05,1.08E-01,2.34E-01,SKM-VL,PROT,HUMAN
Q9NX63,MIC19_HUMAN,CHCHD3,MICOS complex subunit MIC19,8.14E+05,9.27E+05,9.27E+05,1.09E+06,8.29E-05,1.35E-03,SKM-VL,PROT,HUMAN
Q9BUR5,MIC26_HUMAN,APOO,MICOS complex subunit MIC26,3.69E+05,4.67E+05,4.30E+05,5.09E+05,3.29E-03,2.11E-02,SKM-VL,PROT,HUMAN
Q6UXV4,MIC27_HUMAN,APOOL,MICOS complex subunit MIC27,2.24E+05,2.34E+05,2.19E+05,2.89E+05,1.76E-03,1.30E-02,SKM-VL,PROT,HUMAN
Q16891,MIC60_HUMAN,IMMT,MICOS complex subunit MIC60,4.67E+06,4.36E+06,4.41E+06,4.98E+06,5.31E-02,1.44E-01,SKM-VL,PROT,HUMAN
P14174,MIF_HUMAN,MIF,Macrophage migration inhibitory factor,6.29E+04,9.85E+04,6.46E+04,7.03E+04,2.77E-01,4.51E-01,SKM-VL,PROT,HUMAN
P20774,MIME_HUMAN,OGN,Mimecan,1.00E+06,1.07E+06,9.09E+05,1.17E+06,6.81E-02,1.72E-01,SKM-VL,PROT,HUMAN
Q8IXI2,MIRO1_HUMAN,RHOT1,Mitochondrial Rho GTPase 1,7.64E+04,7.77E+04,7.30E+04,1.08E+05,2.09E-02,7.67E-02,SKM-VL,PROT,HUMAN
Q8IXI1,MIRO2_HUMAN,RHOT2,Mitochondrial Rho GTPase 2,9.43E+03,1.71E+04,1.21E+04,1.66E+04,3.43E-01,5.17E-01,SKM-VL,PROT,HUMAN
P28482,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1,1.63E+05,1.54E+05,1.95E+05,1.60E+05,6.79E-01,7.83E-01,SKM-VL,PROT,HUMAN
P53778,MK12_HUMAN,MAPK12,Mitogen-activated protein kinase 12,6.50E+04,1.17E+05,7.69E+04,1.02E+05,6.71E-03,3.60E-02,SKM-VL,PROT,HUMAN
Q16539,MK14_HUMAN,MAPK14,Mitogen-activated protein kinase 14,9.08E+04,1.11E+05,1.09E+05,1.10E+05,4.57E-01,6.09E-01,SKM-VL,PROT,HUMAN
P19105,ML12A_HUMAN,MYL12A,Myosin regulatory light chain 12A,2.14E+05,2.83E+05,2.34E+05,3.01E+05,2.54E-04,3.12E-03,SKM-VL,PROT,HUMAN
Q14165,MLEC_HUMAN,MLEC,Malectin,4.50E+04,5.00E+04,3.79E+04,5.69E+04,1.05E-02,4.79E-02,SKM-VL,PROT,HUMAN
Q5VWP3,MLIP_HUMAN,MLIP,Muscular LMNA-interacting protein,2.61E+05,2.71E+05,2.70E+05,2.86E+05,4.85E-01,6.32E-01,SKM-VL,PROT,HUMAN
Q9GZQ8,MLP3B_HUMAN,MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3B,7.26E+04,7.26E+04,7.70E+04,7.04E+04,9.50E-01,9.67E-01,SKM-VL,PROT,HUMAN
Q96A32,MLRS_HUMAN,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",5.53E+07,5.32E+07,5.16E+07,4.27E+07,1.16E-04,1.80E-03,SKM-VL,PROT,HUMAN
P10916,MLRV_HUMAN,MYL2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",2.76E+07,2.48E+07,2.56E+07,2.56E+07,8.71E-01,9.18E-01,SKM-VL,PROT,HUMAN
Q96EY8,MMAB_HUMAN,MMAB,Corrinoid adenosyltransferase,1.02E+05,1.12E+05,1.16E+05,9.33E+04,7.29E-01,8.20E-01,SKM-VL,PROT,HUMAN
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",3.93E+05,4.72E+05,4.84E+05,5.28E+05,1.06E-02,4.79E-02,SKM-VL,PROT,HUMAN
O96033,MOC2A_HUMAN,MOCS2,Molybdopterin synthase sulfur carrier subunit,5.59E+04,9.91E+04,7.94E+04,5.90E+04,1.51E-01,2.94E-01,SKM-VL,PROT,HUMAN
P26038,MOES_HUMAN,MSN,Moesin,5.89E+04,7.70E+04,5.36E+04,5.89E+04,3.67E-01,5.34E-01,SKM-VL,PROT,HUMAN
P53985,MOT1_HUMAN,SLC16A1,Monocarboxylate transporter 1,5.83E+04,6.37E+04,5.44E+04,7.69E+04,4.20E-02,1.22E-01,SKM-VL,PROT,HUMAN
O15427,MOT4_HUMAN,SLC16A3,Monocarboxylate transporter 4,6.61E+04,9.94E+04,8.36E+04,9.34E+04,3.31E-02,1.04E-01,SKM-VL,PROT,HUMAN
Q02750,MP2K1_HUMAN,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,9.33E+04,1.01E+05,1.14E+05,1.18E+05,9.34E-01,9.58E-01,SKM-VL,PROT,HUMAN
P36507,MP2K2_HUMAN,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,4.68E+04,7.32E+04,4.94E+04,5.66E+04,2.81E-01,4.55E-01,SKM-VL,PROT,HUMAN
P46734,MP2K3_HUMAN,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3,1.81E+05,2.03E+05,1.59E+05,1.78E+05,4.26E-01,5.83E-01,SKM-VL,PROT,HUMAN
P52564,MP2K6_HUMAN,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,3.31E+05,4.15E+05,3.78E+05,4.37E+05,2.00E-02,7.51E-02,SKM-VL,PROT,HUMAN
Q9Y5U8,MPC1_HUMAN,MPC1,Mitochondrial pyruvate carrier 1,1.83E+05,2.68E+05,2.15E+05,2.34E+05,6.05E-01,7.30E-01,SKM-VL,PROT,HUMAN
O95563,MPC2_HUMAN,MPC2,Mitochondrial pyruvate carrier 2,3.43E+05,3.57E+05,4.01E+05,4.15E+05,2.67E-02,8.98E-02,SKM-VL,PROT,HUMAN
Q00325,MPCP_HUMAN,SLC25A3,"Phosphate carrier protein, mitochondrial",7.65E+06,6.97E+06,7.59E+06,8.78E+06,4.49E-04,4.86E-03,SKM-VL,PROT,HUMAN
P34949,MPI_HUMAN,MPI,Mannose-6-phosphate isomerase,2.82E+05,4.31E+05,3.90E+05,4.16E+05,6.98E-03,3.69E-02,SKM-VL,PROT,HUMAN
Q10713,MPPA_HUMAN,PMPCA,Mitochondrial-processing peptidase subunit alpha,1.18E+05,1.30E+05,1.14E+05,1.50E+05,7.90E-03,3.98E-02,SKM-VL,PROT,HUMAN
O75439,MPPB_HUMAN,PMPCB,Mitochondrial-processing peptidase subunit beta,3.07E+05,3.10E+05,2.98E+05,2.72E+05,6.71E-01,7.77E-01,SKM-VL,PROT,HUMAN
P11717,MPRI_HUMAN,IGF2R,Cation-independent mannose-6-phosphate receptor,6.76E+03,7.86E+03,9.25E+03,9.67E+03,2.85E-01,4.59E-01,SKM-VL,PROT,HUMAN
O75352,MPU1_HUMAN,MPDU1,Mannose-P-dolichol utilization defect 1 protein,6.44E+03,1.06E+04,9.90E+03,1.07E+04,3.38E-01,5.13E-01,SKM-VL,PROT,HUMAN
Q96DH6,MSI2H_HUMAN,MSI2,RNA-binding protein Musashi homolog 2,7.66E+04,6.70E+04,7.02E+04,7.88E+04,7.15E-01,8.09E-01,SKM-VL,PROT,HUMAN
Q8IXL7,MSRB3_HUMAN,MSRB3,Methionine-R-sulfoxide reductase B3,4.43E+04,7.38E+04,4.50E+04,5.04E+04,1.77E-01,3.27E-01,SKM-VL,PROT,HUMAN
Q8IVN3,MSTN1_HUMAN,MUSTN1,Musculoskeletal embryonic nuclear protein 1,3.88E+05,3.67E+05,4.11E+05,4.30E+05,4.58E-01,6.10E-01,SKM-VL,PROT,HUMAN
P80297,MT1X_HUMAN,MT1X,Metallothionein-1X,3.96E+04,3.02E+04,4.26E+04,3.88E+04,4.40E-01,5.96E-01,SKM-VL,PROT,HUMAN
Q9Y6C9,MTCH2_HUMAN,MTCH2,Mitochondrial carrier homolog 2,4.60E+05,5.01E+05,4.63E+05,5.59E+05,2.44E-04,3.04E-03,SKM-VL,PROT,HUMAN
Q8NCU8,MTLN_HUMAN,MTLN,Mitoregulin,1.51E+04,2.98E+04,1.57E+04,2.23E+04,3.04E-02,9.75E-02,SKM-VL,PROT,HUMAN
P42345,MTOR_HUMAN,MTOR,Serine/threonine-protein kinase mTOR,2.60E+03,3.19E+03,3.72E+03,5.13E+03,1.63E-03,1.22E-02,SKM-VL,PROT,HUMAN
P58546,MTPN_HUMAN,MTPN,Myotrophin,2.93E+04,3.44E+04,3.57E+04,3.79E+04,3.27E-01,5.02E-01,SKM-VL,PROT,HUMAN
Q13505,MTX1_HUMAN,MTX1,Metaxin-1,6.28E+04,7.24E+04,6.68E+04,8.62E+04,9.96E-03,4.64E-02,SKM-VL,PROT,HUMAN
O75431,MTX2_HUMAN,MTX2,Metaxin-2,3.36E+05,3.30E+05,3.48E+05,3.75E+05,6.23E-01,7.45E-01,SKM-VL,PROT,HUMAN
P22033,MUTA_HUMAN,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",3.88E+04,3.95E+04,4.69E+04,5.08E+04,5.19E-01,6.59E-01,SKM-VL,PROT,HUMAN
Q92614,MY18A_HUMAN,MYO18A,Unconventional myosin-XVIIIa,5.96E+05,8.77E+05,6.81E+05,7.30E+05,1.97E-02,7.47E-02,SKM-VL,PROT,HUMAN
Q8IUG5,MY18B_HUMAN,MYO18B,Unconventional myosin-XVIIIb,4.18E+03,8.78E+03,5.74E+03,7.48E+03,4.63E-02,1.31E-01,SKM-VL,PROT,HUMAN
Q96S97,MYADM_HUMAN,MYADM,Myeloid-associated differentiation marker,8.19E+03,5.12E+03,6.33E+03,9.38E+03,2.27E-02,8.13E-02,SKM-VL,PROT,HUMAN
Q13203,MYBPH_HUMAN,MYBPH,Myosin-binding protein H,9.93E+05,9.76E+05,1.13E+06,1.23E+06,1.88E-01,3.43E-01,SKM-VL,PROT,HUMAN
Q99417,MYCBP_HUMAN,MYCBP,c-Myc-binding protein,2.17E+04,2.98E+04,2.50E+04,3.39E+04,2.37E-01,4.07E-01,SKM-VL,PROT,HUMAN
P02144,MYG_HUMAN,MB,Myoglobin,3.37E+07,3.35E+07,3.99E+07,3.64E+07,5.12E-01,6.54E-01,SKM-VL,PROT,HUMAN
P12882,MYH1_HUMAN,MYH1,Myosin-1,2.25E+07,3.30E+07,1.98E+07,1.67E+07,3.40E-03,2.17E-02,SKM-VL,PROT,HUMAN
P35749,MYH11_HUMAN,MYH11,Myosin-11,2.80E+05,3.54E+05,4.19E+05,4.67E+05,1.36E-04,2.02E-03,SKM-VL,PROT,HUMAN
Q9UKX3,MYH13_HUMAN,MYH13,Myosin-13,4.17E+07,4.07E+07,4.31E+07,3.95E+07,1.85E-01,3.40E-01,SKM-VL,PROT,HUMAN
Q7Z406,MYH14_HUMAN,MYH14,Myosin-14,4.55E+05,7.24E+05,5.35E+05,6.35E+05,6.52E-02,1.67E-01,SKM-VL,PROT,HUMAN
Q9Y2K3,MYH15_HUMAN,MYH15,Myosin-15,2.90E+04,4.84E+04,5.33E+04,4.83E+04,8.21E-02,1.95E-01,SKM-VL,PROT,HUMAN
Q9H6N6,MYH16_HUMAN,MYH16,Putative uncharacterized protein MYH16,4.17E+05,4.63E+05,3.90E+05,5.30E+05,7.32E-02,1.80E-01,SKM-VL,PROT,HUMAN
Q9UKX2,MYH2_HUMAN,MYH2,Myosin-2,2.95E+07,2.22E+07,2.63E+07,2.05E+07,7.58E-04,7.11E-03,SKM-VL,PROT,HUMAN
P11055,MYH3_HUMAN,MYH3,Myosin-3,1.79E+07,1.69E+07,1.61E+07,1.31E+07,9.79E-04,8.59E-03,SKM-VL,PROT,HUMAN
Q9Y623,MYH4_HUMAN,MYH4,Myosin-4,3.16E+07,3.03E+07,3.28E+07,3.23E+07,8.16E-01,8.81E-01,SKM-VL,PROT,HUMAN
P13533,MYH6_HUMAN,MYH6,Myosin-6,7.19E+06,7.79E+06,8.05E+06,8.69E+06,6.62E-03,3.58E-02,SKM-VL,PROT,HUMAN
P12883,MYH7_HUMAN,MYH7,Myosin-7,1.09E+08,1.13E+08,1.14E+08,1.20E+08,7.73E-01,8.54E-01,SKM-VL,PROT,HUMAN
A7E2Y1,MYH7B_HUMAN,MYH7B,Myosin-7B,1.43E+05,1.64E+05,1.62E+05,1.86E+05,2.36E-03,1.62E-02,SKM-VL,PROT,HUMAN
P13535,MYH8_HUMAN,MYH8,Myosin-8,4.20E+06,4.01E+06,4.30E+06,3.55E+06,1.91E-01,3.46E-01,SKM-VL,PROT,HUMAN
P35579,MYH9_HUMAN,MYH9,Myosin-9,8.83E+05,9.10E+05,8.97E+05,1.02E+06,2.89E-02,9.44E-02,SKM-VL,PROT,HUMAN
P05976,MYL1_HUMAN,MYL1,"Myosin light chain 1/3, skeletal muscle isoform",6.04E+07,4.86E+07,5.43E+07,4.45E+07,9.37E-05,1.50E-03,SKM-VL,PROT,HUMAN
P08590,MYL3_HUMAN,MYL3,Myosin light chain 3,6.59E+07,6.62E+07,7.23E+07,7.52E+07,4.54E-01,6.07E-01,SKM-VL,PROT,HUMAN
P12829,MYL4_HUMAN,MYL4,Myosin light chain 4,6.78E+04,8.59E+04,4.99E+04,7.03E+04,2.98E-01,4.69E-01,SKM-VL,PROT,HUMAN
P60660,MYL6_HUMAN,MYL6,Myosin light polypeptide 6,2.50E+05,3.25E+05,2.93E+05,3.05E+05,6.09E-01,7.34E-01,SKM-VL,PROT,HUMAN
P14649,MYL6B_HUMAN,MYL6B,Myosin light chain 6B,7.37E+06,8.61E+06,7.44E+06,7.55E+06,8.32E-01,8.91E-01,SKM-VL,PROT,HUMAN
