Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
P08461,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial ",29,15,226,15,Dlat,1.27,<0.01,1.10,0.04,HEART,PROT,RAT
P11348,Dihydropteridine reductase ,14,3,11,3,Qdpr,0.73,<0.01,0.76,<0.01,HEART,PROT,RAT
P47942,Dihydropyrimidinase-related protein 2 ,52,19,99,16,Dpysl2,1.35,0.07,1.33,0.09,HEART,PROT,RAT
Q62952,Dihydropyrimidinase-related protein 3 ,34,13,24,10,Dpysl3,1.32,0.40,1.46,0.17,HEART,PROT,RAT
O55096,Dipeptidyl peptidase 3 ,22,9,14,9,Dpp3,1.42,0.51,1.71,0.44,HEART,PROT,RAT
A0A0G2JTX5,Dipeptidyl peptidase 4 ,9,5,7,5,Dpp4,0.61,0.54,0.87,1.00,HEART,PROT,RAT
F1LNM0,Disks large homolog 1 ,6,4,8,4,Dlg1,0.80,0.51,0.94,1.00,HEART,PROT,RAT
G3V8T4,DNA damage-binding protein 1 ,14,12,22,12,Ddb1,0.97,1.00,1.15,0.63,HEART,PROT,RAT
E9PT51,DNA polymerase delta-interacting protein 2 ,24,7,12,7,Poldip2,0.94,0.98,1.01,1.00,HEART,PROT,RAT
Q5M9H7,"DnaJ (Hsp40) homolog, subfamily A, member 2 ",41,11,48,10,Dnaja2,1.04,1.00,1.11,1.00,HEART,PROT,RAT
Q4QR73,"DnaJ (Hsp40) homolog, subfamily A, member 4 ",36,16,59,15,Dnaja4,1.17,0.03,1.18,0.04,HEART,PROT,RAT
Q5XIP0,"DnaJ (Hsp40) homolog, subfamily B, member 4 ",31,9,15,9,Dnajb4,1.23,0.41,1.25,0.40,HEART,PROT,RAT
G3V6I5,DnaJ heat shock protein family (Hsp40) member A3 ,35,11,49,11,Dnaja3,0.79,0.36,0.82,0.72,HEART,PROT,RAT
Q6P7A7,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ,22,10,20,10,Rpn1,1.12,1.00,1.66,0.06,HEART,PROT,RAT
Q01986,Dual specificity mitogen-activated protein kinase kinase 1 ,15,5,17,3,Map2k1,1.08,0.54,1.15,0.41,HEART,PROT,RAT
P36506,Dual specificity mitogen-activated protein kinase kinase 2 ,14,5,8,3,Map2k2,1.07,1.00,1.16,0.93,HEART,PROT,RAT
A0A0G2K3I9,Dual specificity protein phosphatase ,35,6,29,6,Dusp3,1.42,0.11,1.40,0.08,HEART,PROT,RAT
A0A0G2K428,Dynactin subunit 1 ,21,18,35,18,Dctn1,1.28,<0.01,1.35,<0.01,HEART,PROT,RAT
A0A0G2JUC7,Dynactin subunit 2 ,38,12,29,12,Dctn2,1.32,<0.01,1.17,0.09,HEART,PROT,RAT
O35303,Dynamin-1-like protein ,46,25,70,25,Dnm1l,1.07,1.00,1.04,0.82,HEART,PROT,RAT
P39052,Dynamin-2 ,12,8,17,4,Dnm2,1.10,1.00,1.33,0.79,HEART,PROT,RAT
Q2TA68,"Dynamin-like 120 kDa protein, mitochondrial ",43,36,132,36,Opa1,0.97,0.86,1.14,0.33,HEART,PROT,RAT
Q78P75,"Dynein light chain 2, cytoplasmic ",20,2,10,2,Dynll2,0.95,1.00,1.13,0.26,HEART,PROT,RAT
P62628,Dynein light chain roadblock-type 1 ,51,3,10,3,Dynlrb1,1.07,0.84,1.18,0.35,HEART,PROT,RAT
G3V7G0,Dynein light intermediate chain ,22,8,20,8,Dync1li1,1.23,0.03,1.45,0.01,HEART,PROT,RAT
A0A0G2K7B6,Dysferlin ,17,28,77,28,Dysf,1.18,0.20,1.30,0.02,HEART,PROT,RAT
D4A772,Dystrobrevin ,20,10,33,10,Dtna,0.88,0.16,1.01,1.00,HEART,PROT,RAT
F1M8K0,Dystroglycan 1 ,15,10,38,10,Dag1,1.06,0.85,1.07,1.00,HEART,PROT,RAT
P11530,Dystrophin ,42,121,396,117,Dmd,0.76,<0.01,1.01,0.90,HEART,PROT,RAT
A0A0G2K8P3,E3 ubiquitin-protein ligase ,10,7,15,7,Nedd4,1.24,0.04,1.26,0.07,HEART,PROT,RAT
A0A0G2K051,Early endosome antigen 1 ,11,11,16,11,Eea1,1.18,0.02,1.08,0.19,HEART,PROT,RAT
Q5RJP4,Ectonucleoside triphosphate diphosphohydrolase 2 ,5,2,6,2,Entpd2,0.88,0.62,0.94,1.00,HEART,PROT,RAT
Q4FZY0,EF-hand domain-containing protein D2 ,27,6,12,6,Efhd2,1.88,0.03,1.70,0.05,HEART,PROT,RAT
Q641Z6,EH domain-containing protein 1 ,69,31,205,27,Ehd1,1.54,<0.01,1.37,<0.01,HEART,PROT,RAT
Q4V8H8,EH domain-containing protein 2 ,48,24,127,21,Ehd2,0.77,0.01,0.97,0.69,HEART,PROT,RAT
Q8R3Z7,EH-domain-containing 4 ,62,25,111,20,Ehd4,1.59,0.01,1.52,0.01,HEART,PROT,RAT
Q6P6T4,Echinoderm microtubule-associated protein-like 2 ,10,5,7,5,Eml2,1.01,1.00,1.29,0.01,HEART,PROT,RAT
D3Z9E1,Elastin microfibril interfacer 1 ,13,9,17,9,Emilin1,1.52,0.38,1.82,0.19,HEART,PROT,RAT
B5DF91,ELAV-like protein 1 ,19,5,5,5,Elavl1,1.35,0.85,0.96,1.00,HEART,PROT,RAT
P13803,"Electron transfer flavoprotein subunit alpha, mitochondrial ",55,14,357,14,Etfa,0.81,<0.01,0.77,<0.01,HEART,PROT,RAT
Q68FU3,Electron transfer flavoprotein subunit beta ,44,12,114,12,Etfb,0.90,0.09,0.89,0.04,HEART,PROT,RAT
Q66HF3,Electron transfer flavoprotein-ubiquinone oxidoreductase ,33,19,194,19,Etfdh,0.80,0.01,0.92,0.72,HEART,PROT,RAT
M0R757,Elongation factor 1-alpha ,44,15,118,6,LOC100360413; LOC100911991,1.39,0.24,1.38,0.19,HEART,PROT,RAT
P62632,Elongation factor 1-alpha 2 ,47,18,214,9,Eef1a2,0.98,1.00,0.96,1.00,HEART,PROT,RAT
Q68FR9,Elongation factor 1-delta ,44,10,41,10,Eef1d,1.38,0.05,1.17,0.35,HEART,PROT,RAT
Q68FR6,Elongation factor 1-gamma ,45,17,70,17,Eef1g,1.48,0.03,1.37,0.14,HEART,PROT,RAT
P05197,Elongation factor 2 ,41,32,213,32,Eef2,1.20,0.11,1.14,0.18,HEART,PROT,RAT
Q07803,"Elongation factor G, mitochondrial ",25,17,48,17,Gfm1,0.95,0.79,1.08,0.43,HEART,PROT,RAT
Q9QYU2,"Elongation factor Ts, mitochondrial ",31,5,13,5,Tsfm,1.03,1.00,0.98,1.00,HEART,PROT,RAT
P85834,"Elongation factor Tu, mitochondrial ",52,20,194,20,Tufm,1.08,0.25,1.01,1.00,HEART,PROT,RAT
P62870,Elongin-B ,38,6,17,6,Tceb2; Elob,0.92,0.93,1.04,0.77,HEART,PROT,RAT
P83941,Elongin-C ,37,3,7,3,Tceb1; Eloc,0.94,1.00,1.05,0.98,HEART,PROT,RAT
Q3V5X8,Endonuclease ,38,8,26,8,Endog,0.79,0.05,0.79,0.08,HEART,PROT,RAT
Q6AYE2,Endophilin-B1 ,16,5,10,4,Sh3glb1,0.78,0.05,0.90,0.41,HEART,PROT,RAT
P06761,Endoplasmic reticulum chaperone BiP ,52,29,192,26,Hspa5,1.19,0.05,1.14,0.75,HEART,PROT,RAT
P52555,Endoplasmic reticulum resident protein 29 ,21,6,22,6,Erp29,1.88,0.05,1.75,0.07,HEART,PROT,RAT
Q66HD0,Endoplasmin ,36,28,74,27,Hsp90b1,1.32,<0.01,1.35,<0.01,HEART,PROT,RAT
Q561R9,Endoribonuclease LACTB2 ,16,4,7,4,Lactb2,0.79,0.06,0.89,0.39,HEART,PROT,RAT
D3ZIL6,Enoyl CoA hydratase domain-containing 2 ,31,6,29,6,Echdc2,0.58,<0.01,0.83,0.29,HEART,PROT,RAT
A0A140TAE6,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial ",42,9,26,9,Mecr,0.75,0.11,0.78,0.05,HEART,PROT,RAT
P23965,"Enoyl-CoA delta isomerase 1, mitochondrial ",55,14,187,14,Eci1,0.52,<0.01,0.63,0.02,HEART,PROT,RAT
Q5XIC0,"Enoyl-CoA delta isomerase 2, mitochondrial ",33,10,75,5,Eci2,0.75,0.01,0.78,0.03,HEART,PROT,RAT
P14604,"Enoyl-CoA hydratase, mitochondrial ",40,12,197,12,Echs1; LOC100911186,0.80,<0.01,0.83,<0.01,HEART,PROT,RAT
F1M471,EPM2A-interacting protein 1 ,10,3,8,3,Epm2aip1,0.99,1.00,1.22,0.94,HEART,PROT,RAT
B5DEH2,Erlin-2 ,15,5,12,5,Erlin2,0.95,1.00,1.39,0.10,HEART,PROT,RAT
Q8R4A1,ERO1-like protein alpha ,9,3,6,3,Ero1l; Ero1a,1.75,0.03,1.71,0.02,HEART,PROT,RAT
D4A6Q4,Erythrocyte membrane protein band 4.1 ,8,4,6,4,Epb41 Epb4.1,0.91,0.88,1.18,0.52,HEART,PROT,RAT
D3ZDT1,Erythrocyte membrane protein band 4.1-like 2 ,10,7,16,7,Epb4.1l2; Epb41l2,1.25,0.32,1.29,0.25,HEART,PROT,RAT
P56571,"ES1 protein homolog, mitochondrial ",43,11,151,11,RGD1303003,0.94,0.21,0.90,0.03,HEART,PROT,RAT
Q6MGB5,Estradiol 17-beta-dehydrogenase 8 ,15,3,10,3,Hsd17b8,0.57,0.20,0.85,1.00,HEART,PROT,RAT
O88637,Ethanolamine-phosphate cytidylyltransferase ,24,8,21,8,Pcyt2,1.35,0.04,1.33,0.07,HEART,PROT,RAT
B0BNJ4,"ETHE1, persulfide dioxygenase ",13,2,5,2,Ethe1,0.91,0.97,0.91,0.95,HEART,PROT,RAT
Q5RKI1,Eukaryotic initiation factor 4A-II ,47,15,48,6,Eif4a2,1.05,1.00,1.26,0.52,HEART,PROT,RAT
Q6AYD5,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B-like ,14,7,11,7,Gspt1; LOC100911685,1.31,0.02,1.09,0.50,HEART,PROT,RAT
Q5U2Q7,Eukaryotic peptide chain release factor subunit 1 ,10,3,7,3,Etf1,1.08,1.00,1.23,1.00,HEART,PROT,RAT
B5DEN5,Eukaryotic translation elongation factor 1 beta 2 ,41,8,27,8,Eef1b2,1.49,0.05,1.26,0.25,HEART,PROT,RAT
Q6P685,Eukaryotic translation initiation factor 2 subunit beta ,21,6,10,6,Eif2s2,0.98,1.00,0.78,1.00,HEART,PROT,RAT
Q1JU68,Eukaryotic translation initiation factor 3 subunit A ,10,10,16,10,Eif3a,1.07,0.18,1.30,0.01,HEART,PROT,RAT
D4AC36,Eukaryotic translation initiation factor 3 subunit F ,14,4,7,4,Eif3f,1.14,1.00,1.20,0.97,HEART,PROT,RAT
M0RCH0,Eukaryotic translation initiation factor 3 subunit I ,28,6,15,6,EIF3I Eif3i EIF3S2,1.15,1.00,1.15,0.62,HEART,PROT,RAT
A0JPM9,Eukaryotic translation initiation factor 3 subunit J ,41,7,25,7,Eif3j,1.13,0.37,1.33,0.06,HEART,PROT,RAT
D3ZU13,"Eukaryotic translation initiation factor 4 gamma, 1 ",9,12,18,11,Eif4g1,1.07,1.00,1.12,0.88,HEART,PROT,RAT
Q6P3V8,Eukaryotic translation initiation factor 4A1 ,41,14,32,5,Eif4a1,1.33,0.03,1.39,0.03,HEART,PROT,RAT
P63074,Eukaryotic translation initiation factor 4E ,18,4,8,4,Eif4e,0.89,1.00,1.18,1.00,HEART,PROT,RAT
Q07205,Eukaryotic translation initiation factor 5 ,6,2,10,2,Eif5,1.19,0.43,1.15,0.63,HEART,PROT,RAT
Q3T1J1,Eukaryotic translation initiation factor 5A-1 ,34,5,32,5,Eif5a,1.01,1.00,1.08,0.86,HEART,PROT,RAT
Q5XIC2,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial ",21,7,18,7,Ecsit,1.03,1.00,1.07,0.85,HEART,PROT,RAT
Q80U96,Exportin-1 ,14,11,20,11,Xpo1,0.97,1.00,1.40,0.02,HEART,PROT,RAT
P31977,Ezrin ,27,17,61,8,Ezr,1.51,0.55,1.28,0.83,HEART,PROT,RAT
B2GUZ5,F-actin-capping protein subunit alpha-1 ,40,7,21,5,Capza1,1.22,0.02,1.29,0.02,HEART,PROT,RAT
Q3T1K5,F-actin-capping protein subunit alpha-2 ,47,8,40,6,Capza2,1.03,1.00,1.00,1.00,HEART,PROT,RAT
Q5XI32,F-actin-capping protein subunit beta ,32,9,49,9,Capzb,1.10,0.04,1.01,0.77,HEART,PROT,RAT
D3ZEH2,FAD-dependent oxidoreductase domain containing 1 ,4,2,3,2,Foxred1,0.90,1.00,0.95,1.00,HEART,PROT,RAT
B2GUZ9,Fam49b protein ,19,5,12,5,Fam49b,1.08,1.00,1.11,0.56,HEART,PROT,RAT
P85845,Fascin ,15,6,13,6,Fscn1; LOC683788,1.21,0.85,1.00,1.00,HEART,PROT,RAT
Q5M9G9,FAST kinase domain-containing protein 4 ,10,4,6,4,Tbrg4,0.93,0.80,1.05,1.00,HEART,PROT,RAT
P55053,Fatty acid-binding protein 5 ,22,3,9,3,Fabp5,0.67,0.35,0.84,0.95,HEART,PROT,RAT
P07483,"Fatty acid-binding protein, heart ",82,12,519,12,Fabp3,0.68,0.01,0.68,0.03,HEART,PROT,RAT
Q5XI19,Fermitin family homolog 2 (Drosophila) ,21,10,39,10,Fermt2,1.11,0.83,1.11,0.19,HEART,PROT,RAT
P19132,Ferritin heavy chain ,31,5,11,5,Fth1,0.72,0.03,0.81,0.34,HEART,PROT,RAT
D3ZBM3,Ferrochelatase ,26,9,24,9,Fech,0.74,0.01,0.98,1.00,HEART,PROT,RAT
Q9QX79,Fetuin-B ,16,5,30,5,Fetub,0.83,0.45,0.89,1.00,HEART,PROT,RAT
G3V9M6,Fibrillin 1 ,1,4,8,4,Fbn1,2.47,0.01,2.08,0.03,HEART,PROT,RAT
P14480,Fibrinogen beta chain ,32,12,34,12,Fgb,1.15,0.21,0.90,0.23,HEART,PROT,RAT
P02680,Fibrinogen gamma chain ,21,8,22,8,Fgg,1.19,0.06,0.85,0.20,HEART,PROT,RAT
A0A096P6L8,Fibronectin ,16,25,50,25,Fn1,1.68,<0.01,1.24,0.02,HEART,PROT,RAT
Q9WVH8,Fibulin-5 ,9,4,8,4,Fbln5,1.34,0.71,1.82,0.23,HEART,PROT,RAT
C0JPT7,Filamin A ,38,69,236,60,Flna,0.93,0.05,1.31,<0.01,HEART,PROT,RAT
A0A0G2JXT8,Filamin B ,13,25,77,17,Flnb,1.15,0.87,1.22,0.81,HEART,PROT,RAT
Q5U1Y3,Filamin-binding LIM protein 1 ,12,2,7,2,Fblim1,1.24,0.11,1.16,0.20,HEART,PROT,RAT
D3ZHA0,Filamin-C ,45,98,477,87,Flnc,1.96,<0.01,1.66,<0.01,HEART,PROT,RAT
Q5RKI5,"FLII, actin-remodeling protein ",6,5,6,5,Flii,1.16,0.23,1.50,0.02,HEART,PROT,RAT
Q9Z1E1,Flotillin-1 ,35,11,24,11,Flot1,1.12,1.00,1.00,1.00,HEART,PROT,RAT
Q9Z2S9,Flotillin-2 ,23,8,18,8,Flot2,0.97,1.00,1.13,0.82,HEART,PROT,RAT
Q6P792,Four and a half LIM domains 1 ,13,4,36,4,Fhl1,2.09,<0.01,2.17,<0.01,HEART,PROT,RAT
O35115,Four and a half LIM domains protein 2 ,9,3,23,3,Fhl2,0.60,0.60,1.07,1.00,HEART,PROT,RAT
A0A3G2LW22,Fragile X mental retardation syndrome-related protein 1 ,16,7,17,7,Fxr1,1.16,0.06,1.30,0.02,HEART,PROT,RAT
M0RAK4,"Frataxin, mitochondrial ",25,4,13,4,Fxn,0.82,0.09,1.10,0.82,HEART,PROT,RAT
P05065,Fructose-bisphosphate aldolase A ,59,18,316,8,Aldoa,1.06,0.72,0.90,0.57,HEART,PROT,RAT
P14408,"Fumarate hydratase, mitochondrial ",56,19,239,19,Fh Fh1,0.90,<0.01,0.84,<0.01,HEART,PROT,RAT
B2RYW9,Fumarylacetoacetate hydrolase domain-containing protein 2 ,45,10,32,10,Fahd2a,0.85,0.01,0.95,0.42,HEART,PROT,RAT
D3ZAQ0,FUN14 domain-containing 2 ,26,4,7,4,Fundc2,0.84,0.13,0.76,0.04,HEART,PROT,RAT
Q5PQK2,FUS RNA-binding protein ,9,4,7,4,Fus,0.88,0.58,0.98,1.00,HEART,PROT,RAT
D3ZYS7,G3BP stress granule assembly factor 1 ,15,5,11,5,G3bp1,0.96,1.00,0.99,1.00,HEART,PROT,RAT
Q6AY21,G3BP stress granule assembly factor 2 ,5,2,3,2,G3bp2,0.78,0.49,0.93,1.00,HEART,PROT,RAT
A0A0G2JXN6,Galectin ,14,4,9,4,Lgals3,1.99,0.01,1.90,0.02,HEART,PROT,RAT
B4F7A3,Galectin ,15,2,7,2,Lgalsl,0.90,0.73,1.08,0.97,HEART,PROT,RAT
P11762,Galectin-1 ,37,5,27,5,Lgals1,1.69,0.05,1.30,0.39,HEART,PROT,RAT
P47967,Galectin-5 ,39,4,13,4,Lgals5,1.48,0.03,1.86,0.01,HEART,PROT,RAT
P08050,Gap junction alpha-1 protein ,14,4,12,4,Gja1,0.60,0.07,0.80,0.52,HEART,PROT,RAT
D3ZKU6,GB1/RHD3-type G domain-containing protein ,15,8,30,8,Gbp1,1.68,<0.01,1.59,<0.01,HEART,PROT,RAT
Q68FP1,Gelsolin ,27,14,49,14,Gsn,1.41,<0.01,1.45,<0.01,HEART,PROT,RAT
Q63228,Glia maturation factor beta ,27,3,10,3,Gmfb,1.48,0.08,1.38,0.15,HEART,PROT,RAT
Q5RK08,Glioblastoma amplified sequence ,49,13,118,13,Gbas; Nipsnap2,0.76,<0.01,0.98,0.56,HEART,PROT,RAT
Q62669,Globin a1 ,82,11,261,7,Hbb-b1; LOC103694855,1.89,<0.01,1.72,<0.01,HEART,PROT,RAT
A0A0G2JSW3,Globin a4 ,75,12,689,4,Hbb,1.66,<0.01,1.66,<0.01,HEART,PROT,RAT
A0A0G2JTB2,"Glucan (1,4-alpha-), branching enzyme 1 ",19,10,27,4,Gbe1,1.32,0.02,1.32,0.01,HEART,PROT,RAT
Q6P6V0,Glucose-6-phosphate isomerase ,54,23,216,23,Gpi,1.51,<0.01,1.39,<0.01,HEART,PROT,RAT
P10860,"Glutamate dehydrogenase 1, mitochondrial ",41,21,114,21,Glud1,0.77,0.01,0.82,0.04,HEART,PROT,RAT
Q66H61,Glutamine--tRNA ligase ,14,8,11,8,Qars,1.09,1.00,1.06,1.00,HEART,PROT,RAT
A0A0G2JZI2,Glutamyl-prolyl-tRNA synthetase ,12,13,20,13,Eprs,1.12,0.82,1.20,0.50,HEART,PROT,RAT
Q9JLZ1,Glutaredoxin-3 ,33,8,22,8,Glrx3,1.20,0.77,1.23,0.18,HEART,PROT,RAT
D3ZT90,Glutaryl-CoA dehydrogenase ,27,8,40,8,Gcdh,0.81,0.02,0.93,0.73,HEART,PROT,RAT
A0A0G2K531,Glutathione peroxidase ,26,5,13,5,Gpx3,1.61,<0.01,1.42,0.01,HEART,PROT,RAT
F8WFK6,Glutathione peroxidase ,18,4,17,4,Gpx4,1.17,1.00,1.13,1.00,HEART,PROT,RAT
P04041,Glutathione peroxidase 1 ,63,10,60,10,Gpx1,1.59,<0.01,1.36,<0.01,HEART,PROT,RAT
F1LRE1,Glutathione reductase ,24,7,13,7,Gsr,0.89,0.91,0.95,1.00,HEART,PROT,RAT
P04904,Glutathione S-transferase alpha-3 ,57,9,68,5,Gsta3; Gsta1; LOC102550391; LOC108348061,1.19,0.08,1.16,0.08,HEART,PROT,RAT
P14942,Glutathione S-transferase alpha-4 ,13,3,10,2,Gsta4,0.71,0.84,1.09,1.00,HEART,PROT,RAT
P24473,Glutathione S-transferase kappa 1 ,57,11,55,11,Gstk1,0.89,0.03,1.04,1.00,HEART,PROT,RAT
P08010,Glutathione S-transferase Mu 2 ,65,16,145,11,Gstm2,0.89,0.18,0.90,0.42,HEART,PROT,RAT
Q9Z339,Glutathione S-transferase omega-1 ,33,7,25,7,Gsto1,1.19,0.32,1.01,1.00,HEART,PROT,RAT
P04906,Glutathione S-transferase P ,38,6,34,6,Gstp1,0.87,0.03,0.95,1.00,HEART,PROT,RAT
P30713,Glutathione S-transferase theta-2 ,31,6,24,5,Gstt2,1.13,1.00,1.32,0.36,HEART,PROT,RAT
P08009,Glutathione S-transferase Yb-3 ,60,12,89,5,Gstm7,0.76,0.01,0.82,0.15,HEART,PROT,RAT
P04797,Glyceraldehyde-3-phosphate dehydrogenase ,53,16,913,3,Gapdh; LOC685186; LOC108351137,1.01,0.81,0.97,0.82,HEART,PROT,RAT
D3ZAP9,Glycerol-3-phosphate dehydrogenase [NAD(+)] ,38,13,38,10,Gpd1l,1.07,0.74,1.18,0.33,HEART,PROT,RAT
O35077,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic ",46,16,86,13,Gpd1,1.48,<0.01,1.32,<0.01,HEART,PROT,RAT
D3ZDK7,Glycerol-3-phosphate phosphatase ,12,3,12,3,Pgp,1.00,1.00,0.97,1.00,HEART,PROT,RAT
Q5I0G4,Glycine--tRNA ligase ,22,12,23,12,Gars1 Gars,1.05,1.00,0.93,0.92,HEART,PROT,RAT
A2RRU1,"Glycogen [starch] synthase, muscle ",29,18,69,18,Gys1,0.96,0.87,1.07,0.76,HEART,PROT,RAT
A0A0G2KB98,Glycogen synthase kinase-3 beta ,19,4,16,3,Gsk3b,1.15,1.00,1.26,0.16,HEART,PROT,RAT
F8WFR6,Glycogenin-1 ,33,7,44,7,Gyg1,1.72,<0.01,1.32,0.01,HEART,PROT,RAT
Q5I0D1,Glyoxalase domain-containing protein 4 ,41,11,38,11,Glod4,1.22,0.20,1.18,0.30,HEART,PROT,RAT
Q6P7Q2,Glypican-1 ,25,9,33,9,Gpc1,1.66,0.16,1.95,0.02,HEART,PROT,RAT
Q9Z244,GMP reductase 1 ,24,6,36,6,Gmpr,0.77,0.02,0.88,0.20,HEART,PROT,RAT
Q4V7C6,GMP synthase [glutamine-hydrolyzing] ,13,7,14,7,Gmps,1.00,1.00,0.81,0.78,HEART,PROT,RAT
Q5XI09,Gnl1 protein (Fragment) ,6,2,5,2,Gnl1,1.67,0.41,1.35,0.83,HEART,PROT,RAT
Q9R080,G-protein-signaling modulator 1 ,7,3,6,3,Gpsm1,0.99,1.00,1.71,0.05,HEART,PROT,RAT
A0A0G2JTY6,G-rich RNA sequence-binding factor 1 ,17,5,12,5,Grsf1,0.76,0.13,0.86,0.68,HEART,PROT,RAT
Q68FY4,Group specific component ,29,11,57,11,Gc,0.94,0.21,1.01,1.00,HEART,PROT,RAT
P62994,Growth factor receptor-bound protein 2 ,27,6,12,6,Grb2,1.07,1.00,0.94,1.00,HEART,PROT,RAT
P97576,"GrpE protein homolog 1, mitochondrial ",46,9,45,9,Grpel1,0.90,1.00,0.89,0.64,HEART,PROT,RAT
Q6P2A5,"GTP:AMP phosphotransferase AK3, mitochondrial ",74,16,92,16,Ak3,1.05,0.36,1.14,0.02,HEART,PROT,RAT
Q04970,GTPase NRas ,40,5,12,5,Nras,0.97,1.00,1.05,1.00,HEART,PROT,RAT
P62828,GTP-binding nuclear protein Ran ,33,6,32,6,Ran,1.27,0.05,1.20,0.35,HEART,PROT,RAT
G3V7K9,GTP-binding protein ,14,3,4,3,Rrad,0.97,1.00,1.07,1.00,HEART,PROT,RAT
Q5HZY2,GTP-binding protein SAR1b ,21,4,14,2,Sar1b,0.95,0.86,0.90,0.85,HEART,PROT,RAT
Q9JKB7,Guanine deaminase ,33,16,59,16,Gda,1.41,<0.01,1.43,<0.01,HEART,PROT,RAT
P04897,Guanine nucleotide-binding protein G(i) subunit alpha-2 ,31,8,25,4,Gnai2,1.39,0.01,1.45,<0.01,HEART,PROT,RAT
P54311,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 ,16,6,24,3,Gnb1,1.13,0.79,1.28,0.07,HEART,PROT,RAT
D4A9P9,"Gup1, glycerol uptake/transporter homolog (Yeast) (Predicted) ",28,10,54,10,Hhatl,0.67,<0.01,0.88,0.89,HEART,PROT,RAT
Q6MGC4,"H2-K region expressed gene 2, rat orthologue ",34,4,7,4,Pfdn6,1.21,0.57,1.22,0.92,HEART,PROT,RAT
P06866,Haptoglobin ,34,12,52,12,Hp,1.03,1.00,0.95,1.00,HEART,PROT,RAT
B5DFG4,"Heat shock 27kD protein family, member 7 (Cardiovascular) ",46,6,22,6,Hspb7,2.20,0.01,2.00,0.04,HEART,PROT,RAT
G3V913,Heat shock 27kDa protein 1 ,88,13,111,13,Hspb1,2.16,<0.01,1.69,<0.01,HEART,PROT,RAT
G3V7G6,Heat shock 27kDa protein 3 ,39,5,9,5,Hspb3,1.28,0.32,1.21,0.90,HEART,PROT,RAT
P0DMW0,Heat shock 70 kDa protein 1A ,39,19,104,14,Hspa1b; Hspa1a; LOC108348108,1.25,0.01,1.46,<0.01,HEART,PROT,RAT
O88600,Heat shock 70 kDa protein 4 ,45,30,98,30,Hspa4,1.24,0.02,1.25,0.01,HEART,PROT,RAT
P63018,Heat shock cognate 71 kDa protein ,57,31,345,24,Hspa8,1.19,0.03,1.05,1.00,HEART,PROT,RAT
Q66HA8,Heat shock protein 105 kDa ,4,2,5,2,Hsph1,1.10,1.00,1.30,0.56,HEART,PROT,RAT
Q5XHZ0,"Heat shock protein 75 kDa, mitochondrial ",42,25,65,24,Trap1,1.00,1.00,1.06,0.69,HEART,PROT,RAT
O35878,Heat shock protein beta-2 ,57,6,38,6,Hspb2,1.11,0.50,1.24,0.06,HEART,PROT,RAT
P97541,Heat shock protein beta-6 ,75,7,79,7,Hspb6,1.41,<0.01,1.17,0.11,HEART,PROT,RAT
Q9EPX0,Heat shock protein beta-8 ,24,5,23,5,Hspb8,1.46,<0.01,1.16,0.03,HEART,PROT,RAT
D3ZVM5,Heat shock protein family A (Hsp70) member 12B ,14,7,16,6,Hspa12b,0.85,0.05,1.05,0.74,HEART,PROT,RAT
P82995,Heat shock protein HSP 90-alpha ,39,27,152,17,Hsp90aa1; LOC103692716,1.97,<0.01,1.77,<0.01,HEART,PROT,RAT
P34058,Heat shock protein HSP 90-beta ,42,30,221,19,Hsp90ab1,1.24,<0.01,1.20,<0.01,HEART,PROT,RAT
B4F7C7,Hebp1 protein ,37,5,6,5,Hebp1,1.38,0.49,1.53,0.31,HEART,PROT,RAT
P11517,Hemoglobin subunit beta-2 ,73,11,586,3,LOC100134871; LOC689064; LOC103694857,1.62,<0.01,1.76,<0.01,HEART,PROT,RAT
P20059,Hemopexin ,34,15,99,15,Hpx,1.44,<0.01,1.47,<0.01,HEART,PROT,RAT
F1LPC7,Hepatoma-derived growth factor ,18,3,7,3,Hdgf,1.08,1.00,1.01,1.00,HEART,PROT,RAT
P04256,Heterogeneous nuclear ribonucleoprotein A1 ,25,7,20,5,Hnrnpa1,0.79,0.01,0.98,1.00,HEART,PROT,RAT
Q6URK4,Heterogeneous nuclear ribonucleoprotein A3 ,22,6,19,5,Hnrnpa3,1.16,0.83,1.20,0.17,HEART,PROT,RAT
A0A0G2JXW4,Heterogeneous nuclear ribonucleoprotein C ,26,7,22,7,LOC100911576; Hnrnpc,0.83,0.81,0.99,1.00,HEART,PROT,RAT
Q9JJ54,Heterogeneous nuclear ribonucleoprotein D0 ,6,2,10,2,Hnrpd; Hnrnpd,0.93,0.79,1.03,1.00,HEART,PROT,RAT
