Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
D3YYT0,Cdh2,1.024,15,0.6438,Cadherin-2 OS=Mus musculus GN=Cdh2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQJ6,Denr,1.024,4,0.6492,Density-regulated protein OS=Mus musculus GN=Denr PE=1 SV=1,HEART,PROT,HUMAN
Q99M04,Lias Lip1,1.023,3,0.8556,"Lipoyl synthase, mitochondrial OS=Mus musculus GN=Lias PE=1 SV=1",HEART,PROT,HUMAN
Q61292,Lamb2 Lams,1.022,38,0.08314,Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=1 SV=2,HEART,PROT,HUMAN
Q6PHN9,Rab35,1.021,3,0.7633,Ras-related protein Rab-35 OS=Mus musculus GN=Rab35 PE=1 SV=1,HEART,PROT,HUMAN
A2AFQ2,Hsd17b10,1.021,12,0.7747,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=1,HEART,PROT,HUMAN
Q9R0X4,Acot9 Acate2,1.019,9,0.6333,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1",HEART,PROT,HUMAN
P28665,Mug1 Mug-1,1.019,12,0.7485,Murinoglobulin-1 OS=Mus musculus GN=Mug1 PE=1 SV=3,HEART,PROT,HUMAN
Q8BK72,Mrps27,1.019,5,0.8401,"28S ribosomal protein S27, mitochondrial OS=Mus musculus GN=Mrps27 PE=1 SV=2",HEART,PROT,HUMAN
P10922,H1f0 H1fv,1.018,9,0.6872,Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4,HEART,PROT,HUMAN
G3X8T9,Serpina3n mCG_3346,1.018,10,0.765,"Serine (Or cysteine) peptidase inhibitor, clade A, member 3N, isoform CRA_a OS=Mus musculus GN=Serpina3n PE=1 SV=1",HEART,PROT,HUMAN
O35452,Tnxb TNX,1.017,5,0.7088,Tenascin X OS=Mus musculus GN=Tnxb PE=1 SV=1,HEART,PROT,HUMAN
Q9Z2D6,Mecp2,1.017,4,0.8163,Methyl-CpG-binding protein 2 OS=Mus musculus GN=Mecp2 PE=1 SV=1,HEART,PROT,HUMAN
Q8BRK8,Prkaa2,1.017,5,0.8235,5'-AMP-activated protein kinase catalytic subunit alpha-2 OS=Mus musculus GN=Prkaa2 PE=1 SV=3,HEART,PROT,HUMAN
Q9JM14,Nt5c Dnt1,1.017,3,0.9163,"5'(3')-deoxyribonucleotidase, cytosolic type OS=Mus musculus GN=Nt5c PE=1 SV=1",HEART,PROT,HUMAN
Q80Y14,Glrx5,1.016,5,0.7544,"Glutaredoxin-related protein 5, mitochondrial OS=Mus musculus GN=Glrx5 PE=1 SV=2",HEART,PROT,HUMAN
Q4ZJM7,Otol1 Gm414,1.015,4,0.7672,Otolin-1 OS=Mus musculus GN=Otol1 PE=1 SV=2,HEART,PROT,HUMAN
Q8K0D5,Gfm1 Efg Efg1 Gfm,1.014,14,0.7294,"Elongation factor G, mitochondrial OS=Mus musculus GN=Gfm1 PE=1 SV=1",HEART,PROT,HUMAN
Q9D6Y7,Msra,1.014,4,0.7847,Mitochondrial peptide methionine sulfoxide reductase OS=Mus musculus GN=Msra PE=1 SV=1,HEART,PROT,HUMAN
O35435,Dhodh,1.013,6,0.4839,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Mus musculus GN=Dhodh PE=1 SV=2",HEART,PROT,HUMAN
P23927,Cryab Crya2,1.013,22,0.5585,Alpha-crystallin B chain OS=Mus musculus GN=Cryab PE=1 SV=2,HEART,PROT,HUMAN
Q9CWV1,Mcm8,1.013,3,0.889,DNA helicase MCM8 OS=Mus musculus GN=Mcm8 PE=1 SV=3,HEART,PROT,HUMAN
P51637,Cav3,1.012,6,0.8702,Caveolin-3 OS=Mus musculus GN=Cav3 PE=1 SV=1,HEART,PROT,HUMAN
G5DDB7,Plcd1,1.011,6,0.9492,Phosphoinositide phospholipase C OS=Mus musculus GN=Plcd1 PE=1 SV=1,HEART,PROT,HUMAN
Q99JR6,Nmnat3,1.011,3,0.9603,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 OS=Mus musculus GN=Nmnat3 PE=1 SV=1,HEART,PROT,HUMAN
Q9CPQ8,Atp5mg Atp5l,1.01,9,0.851,"ATP synthase subunit g, mitochondrial OS=Mus musculus GN=Atp5l PE=1 SV=1",HEART,PROT,HUMAN
Q80XB4,Nrap,1.009,19,0.7682,Nebulin-related-anchoring protein OS=Mus musculus GN=Nrap PE=1 SV=3,HEART,PROT,HUMAN
E9Q1X8,Cacna2d1,1.009,9,0.8185,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus GN=Cacna2d1 PE=1 SV=2,HEART,PROT,HUMAN
Q921H8,Acaa1a Acaa1,1.009,5,0.9345,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1",HEART,PROT,HUMAN
Q99LC3,Ndufa10,1.008,37,0.8879,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus GN=Ndufa10 PE=1 SV=1",HEART,PROT,HUMAN
P00405,Mtco2 COII COX2 mt-Co2,1.007,17,0.768,Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1,HEART,PROT,HUMAN
P17563,Selenbp1 Lpsb,1.007,21,0.8639,Selenium-binding protein 1 OS=Mus musculus GN=Selenbp1 PE=1 SV=2,HEART,PROT,HUMAN
D3YWF6,Otub1,1.007,4,0.9371,Ubiquitin thioesterase OTUB1 OS=Mus musculus GN=Otub1 PE=1 SV=1,HEART,PROT,HUMAN
P10649,Gstm1,1.006,26,0.8632,Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2,HEART,PROT,HUMAN
Q8K1Z0,Coq9,1.005,17,0.9407,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Mus musculus GN=Coq9 PE=1 SV=1",HEART,PROT,HUMAN
Q8R0F8,Fahd1 MNCb-4134,1.005,3,0.9606,"Acylpyruvase FAHD1, mitochondrial OS=Mus musculus GN=Fahd1 PE=1 SV=2",HEART,PROT,HUMAN
Q1XH17,Trim72 Mg53,1.004,27,0.8951,Tripartite motif-containing protein 72 OS=Mus musculus GN=Trim72 PE=1 SV=1,HEART,PROT,HUMAN
P05201,Got1,1.004,36,0.9191,"Aspartate aminotransferase, cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3",HEART,PROT,HUMAN
P99029,Prdx5 Prdx6,1.003,28,0.934,"Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2",HEART,PROT,HUMAN
Q91YT0,Ndufv1,1.003,18,0.9508,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1",HEART,PROT,HUMAN
E9QNA7,Sorbs1,1.002,30,0.9384,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus GN=Sorbs1 PE=1 SV=1,HEART,PROT,HUMAN
P49443,Ppm1a Pppm1a,1.002,4,0.9481,Protein phosphatase 1A OS=Mus musculus GN=Ppm1a PE=1 SV=1,HEART,PROT,HUMAN
A0A1B0GRP7,Plpbp Prosc,1.002,4,0.9749,Pyridoxal phosphate-binding protein (Fragment) OS=Mus musculus GN=Plpbp PE=1 SV=1,HEART,PROT,HUMAN
D3YWR7,Qdpr,1.002,7,0.9809,Dihydropteridine reductase OS=Mus musculus GN=Qdpr PE=1 SV=1,HEART,PROT,HUMAN
P48722,Hspa4l Apg1 Hsp4l Osp94,1.001,10,0.9895,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2,HEART,PROT,HUMAN
P48787,Tnni3,1,28,0.9905,"Troponin I, cardiac muscle OS=Mus musculus GN=Tnni3 PE=1 SV=2",HEART,PROT,HUMAN
D3YVS1,Smtn,0.999,4,0.9873,Smoothelin OS=Mus musculus GN=Smtn PE=1 SV=1,HEART,PROT,HUMAN
P28271,Aco1 Ireb1 Irebp,0.999,6,0.9891,Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3,HEART,PROT,HUMAN
A2AMM0,Cavin4 Murc,0.998,10,0.9447,Caveolae-associated protein 4 OS=Mus musculus GN=Cavin4 PE=1 SV=1,HEART,PROT,HUMAN
A2CG35,Rab12,0.998,4,0.9693,Ras-related protein Rab-12 OS=Mus musculus GN=Rab12 PE=1 SV=1,HEART,PROT,HUMAN
Q8BGC4,Zadh2 Ptgr3,0.998,4,0.9925,Prostaglandin reductase-3 OS=Mus musculus GN=Zadh2 PE=1 SV=1,HEART,PROT,HUMAN
P62071,Rras2,0.997,9,0.9042,Ras-related protein R-Ras2 OS=Mus musculus GN=Rras2 PE=1 SV=1,HEART,PROT,HUMAN
Q9Z1P6,Ndufa7,0.997,15,0.9188,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3,HEART,PROT,HUMAN
Q9JMC3,Dnaja4,0.997,6,0.9611,DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=1 SV=1,HEART,PROT,HUMAN
O35683,Ndufa1,0.997,5,0.9672,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS=Mus musculus GN=Ndufa1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BKC5,Ipo5 Kpnb3 Ranbp5,0.997,5,0.9712,Importin-5 OS=Mus musculus GN=Ipo5 PE=1 SV=3,HEART,PROT,HUMAN
O09061,Psmb1,0.997,4,0.985,Proteasome subunit beta type-1 OS=Mus musculus GN=Psmb1 PE=1 SV=1,HEART,PROT,HUMAN
Q3ULJ0,Gpd1l Kiaa0089,0.996,7,0.8717,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus GN=Gpd1l PE=1 SV=2,HEART,PROT,HUMAN
Q9CQ75,Ndufa2,0.996,7,0.8722,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Mus musculus GN=Ndufa2 PE=1 SV=3,HEART,PROT,HUMAN
Q9DCV4,Rmdn1 Fam82b,0.996,12,0.9115,Regulator of microtubule dynamics protein 1 OS=Mus musculus GN=Rmdn1 PE=1 SV=2,HEART,PROT,HUMAN
Q60936,Coq8a Adck3 Cabc1,0.996,12,0.9257,"Atypical kinase COQ8A, mitochondrial OS=Mus musculus GN=Coq8a PE=1 SV=2",HEART,PROT,HUMAN
Q62425,Ndufa4,0.996,15,0.9338,Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2,HEART,PROT,HUMAN
Q9D8S4,Rexo2 Smfn,0.996,6,0.9348,"Oligoribonuclease, mitochondrial OS=Mus musculus GN=Rexo2 PE=1 SV=2",HEART,PROT,HUMAN
Q9CQN1,Trap1 Hsp75,0.995,25,0.8747,"Heat shock protein 75 kDa, mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1",HEART,PROT,HUMAN
Q8K010,Oplah,0.995,5,0.9021,5-oxoprolinase OS=Mus musculus GN=Oplah PE=1 SV=1,HEART,PROT,HUMAN
Q64010,Crk Crko,0.995,4,0.959,Adapter molecule crk OS=Mus musculus GN=Crk PE=1 SV=1,HEART,PROT,HUMAN
Q8R1Q8,Dync1li1 Dncli1 Dnclic1,0.993,3,0.7736,Cytoplasmic dynein 1 light intermediate chain 1 OS=Mus musculus GN=Dync1li1 PE=1 SV=1,HEART,PROT,HUMAN
Q9Z0P5,Twf2 Ptk9l,0.993,5,0.8978,Twinfilin-2 OS=Mus musculus GN=Twf2 PE=1 SV=1,HEART,PROT,HUMAN
E0CXN5,Gpd1,0.993,6,0.9009,Glycerol-3-phosphate dehydrogenase [NAD(+)] OS=Mus musculus GN=Gpd1 PE=1 SV=1,HEART,PROT,HUMAN
P40336,Vps26a Vps26,0.993,4,0.9367,Vacuolar protein sorting-associated protein 26A OS=Mus musculus GN=Vps26a PE=1 SV=1,HEART,PROT,HUMAN
P34928,Apoc1,0.993,5,0.9377,Apolipoprotein C-I OS=Mus musculus GN=Apoc1 PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J135,Selenbp2,0.992,14,0.8406,Selenium-binding protein 2 OS=Mus musculus GN=Selenbp2 PE=1 SV=1,HEART,PROT,HUMAN
Q91V41,Rab14,0.992,7,0.8934,Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3,HEART,PROT,HUMAN
Q5SRX1,Tom1l2,0.992,3,0.9141,TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D024,Ccdc47 Asp4,0.992,3,0.9552,Coiled-coil domain-containing protein 47 OS=Mus musculus GN=Ccdc47 PE=1 SV=2,HEART,PROT,HUMAN
E9QK48,Eml2,0.991,5,0.3864,Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=1 SV=1,HEART,PROT,HUMAN
G3UX26,Vdac2,0.991,15,0.6967,Voltage-dependent anion-selective channel protein 2 OS=Mus musculus GN=Vdac2 PE=1 SV=1,HEART,PROT,HUMAN
A0A0N4SUN3,Dysf,0.991,19,0.8639,Dysferlin OS=Mus musculus GN=Dysf PE=1 SV=1,HEART,PROT,HUMAN
P46638,Rab11b,0.991,9,0.895,Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3,HEART,PROT,HUMAN
Q3UMT1,Ppp1r12c Mbs85,0.991,3,0.9614,Protein phosphatase 1 regulatory subunit 12C OS=Mus musculus GN=Ppp1r12c PE=1 SV=1,HEART,PROT,HUMAN
P11798,Camk2a,0.99,5,0.5995,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus GN=Camk2a PE=1 SV=2,HEART,PROT,HUMAN
D3Z0L4,Chchd3,0.99,24,0.6558,MICOS complex subunit (Fragment) OS=Mus musculus GN=Chchd3 PE=1 SV=1,HEART,PROT,HUMAN
P38647,Hspa9 Grp75 Hsp74 Hspa9a,0.99,67,0.7164,"Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3",HEART,PROT,HUMAN
Q9CZ44,Nsfl1c,0.99,10,0.7799,NSFL1 cofactor p47 OS=Mus musculus GN=Nsfl1c PE=1 SV=1,HEART,PROT,HUMAN
Q6PDI5,Ecpas Ecm29 Kiaa0368,0.99,3,0.8351,Proteasome-associated protein ECM29 homolog OS=Mus musculus GN=Ecm29 PE=1 SV=3,HEART,PROT,HUMAN
Q9CZW5,Tomm70 D16Wsu109e Tomm70a,0.989,5,0.6368,Mitochondrial import receptor subunit TOM70 OS=Mus musculus GN=Tomm70 PE=1 SV=2,HEART,PROT,HUMAN
Q99NB1,Acss1 Acas2 Acas2l,0.989,32,0.7222,"Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1",HEART,PROT,HUMAN
Q99NF7,Ppm1b ppm1b2,0.989,3,0.9147,Ppm1b protein OS=Mus musculus GN=Ppm1b PE=1 SV=1,HEART,PROT,HUMAN
P32020,Scp2 Scp-2,0.988,10,0.4234,Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3,HEART,PROT,HUMAN
E9Q3E2,Synpo,0.988,8,0.7933,Synaptopodin OS=Mus musculus GN=Synpo PE=1 SV=1,HEART,PROT,HUMAN
A0A0A0MQA3,Serpina1a,0.988,18,0.8245,Alpha-1-antitrypsin 1-1 OS=Mus musculus GN=Serpina1a PE=1 SV=1,HEART,PROT,HUMAN
P55258,Rab8a Mel Rab8,0.988,5,0.8449,Ras-related protein Rab-8A OS=Mus musculus GN=Rab8a PE=1 SV=2,HEART,PROT,HUMAN
A2AUC9,Klhl41 Kbtbd10,0.988,6,0.9019,Kelch-like protein 41 OS=Mus musculus GN=Klhl41 PE=1 SV=1,HEART,PROT,HUMAN
Q9CXW2,Mrps22 Rpms22,0.987,4,0.5616,"28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=1 SV=1",HEART,PROT,HUMAN
Q9WVK4,Ehd1 Past1,0.987,27,0.6961,EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1,HEART,PROT,HUMAN
Q5EBG6,Hspb6 Gm479,0.987,8,0.7259,Heat shock protein beta-6 OS=Mus musculus GN=Hspb6 PE=1 SV=1,HEART,PROT,HUMAN
D3Z2Z1,Clip1,0.987,12,0.7474,CAP-Gly domain-containing linker protein 1 OS=Mus musculus GN=Clip1 PE=1 SV=1,HEART,PROT,HUMAN
Q9DCD0,Pgd,0.987,6,0.8171,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=1 SV=3",HEART,PROT,HUMAN
Q6ZQ73,Cand2 Kiaa0667 Tip120b,0.986,17,0.6207,Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus GN=Cand2 PE=1 SV=2,HEART,PROT,HUMAN
Q3TCD4,Eci2 Peci,0.986,13,0.8195,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus GN=Eci2 PE=1 SV=1",HEART,PROT,HUMAN
O09174,Amacr Macr1,0.986,5,0.8694,Alpha-methylacyl-CoA racemase OS=Mus musculus GN=Amacr PE=1 SV=4,HEART,PROT,HUMAN
E9PV66,Myo18b,0.986,3,0.9515,Myosin XVIIIb OS=Mus musculus GN=Myo18b PE=1 SV=1,HEART,PROT,HUMAN
Q60675,Lama2,0.985,77,0.3197,Laminin subunit alpha-2 OS=Mus musculus GN=Lama2 PE=1 SV=2,HEART,PROT,HUMAN
P45376,Akr1b1 Akr1b3 Aldor1 Aldr1,0.984,14,0.6998,Aldose reductase OS=Mus musculus GN=Akr1b1 PE=1 SV=3,HEART,PROT,HUMAN
P61164,Actr1a Ctrn1,0.984,6,0.8582,Alpha-centractin OS=Mus musculus GN=Actr1a PE=1 SV=1,HEART,PROT,HUMAN
Q3TRE0,Sspn mCG_15024,0.984,3,0.866,Sarcospan OS=Mus musculus GN=Sspn PE=1 SV=1,HEART,PROT,HUMAN
A0A1L1SSA3,Eif1b,0.984,3,0.9159,Eukaryotic translation initiation factor 1b (Fragment) OS=Mus musculus GN=Eif1b PE=1 SV=1,HEART,PROT,HUMAN
P34914,Ephx2 Eph2,0.983,32,0.4576,Bifunctional epoxide hydrolase 2 OS=Mus musculus GN=Ephx2 PE=1 SV=2,HEART,PROT,HUMAN
Q9D0M3,Cyc1,0.983,23,0.7485,"Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1",HEART,PROT,HUMAN
Q8BMS4,Coq3,0.983,9,0.7824,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Mus musculus GN=Coq3 PE=1 SV=1",HEART,PROT,HUMAN
Q9QYI5,Dnajb2 Dnajb10,0.983,6,0.8754,DnaJ homolog subfamily B member 2 OS=Mus musculus GN=Dnajb2 PE=1 SV=3,HEART,PROT,HUMAN
P06745,Gpi Gpi1,0.982,21,0.6202,Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4,HEART,PROT,HUMAN
J3QMM7,Naxd 0710008K08Rik CARKD Carkd mCG_17317,0.982,6,0.6919,ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Mus musculus GN=Naxd PE=1 SV=1,HEART,PROT,HUMAN
Q78IK4,Apool Fam121a Mic27,0.982,13,0.7009,MICOS complex subunit Mic27 OS=Mus musculus GN=Apool PE=1 SV=1,HEART,PROT,HUMAN
H7BX99,F2,0.982,6,0.805,Prothrombin OS=Mus musculus GN=F2 PE=1 SV=1,HEART,PROT,HUMAN
Q3UGX2,Sptb Spnb1 mCG_123942,0.981,20,0.3062,Spectrin beta chain OS=Mus musculus GN=Sptb PE=1 SV=1,HEART,PROT,HUMAN
Q62000,Ogn Og,0.981,13,0.6151,Mimecan OS=Mus musculus GN=Ogn PE=1 SV=1,HEART,PROT,HUMAN
Q9DCL9,Paics,0.98,8,0.4351,Multifunctional protein ADE2 OS=Mus musculus GN=Paics PE=1 SV=4,HEART,PROT,HUMAN
F6ZGN3,Myo18a,0.98,5,0.7306,Unconventional myosin-XVIIIa (Fragment) OS=Mus musculus GN=Myo18a PE=1 SV=2,HEART,PROT,HUMAN
P21550,Eno3 Eno-3,0.979,65,0.3394,Beta-enolase OS=Mus musculus GN=Eno3 PE=1 SV=3,HEART,PROT,HUMAN
Q8R086,Suox,0.979,3,0.569,"Sulfite oxidase, mitochondrial OS=Mus musculus GN=Suox PE=1 SV=2",HEART,PROT,HUMAN
P35235,Ptpn11,0.979,4,0.5926,Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus GN=Ptpn11 PE=1 SV=2,HEART,PROT,HUMAN
Q00897,Serpina1d Dom4 Spi1-4,0.979,11,0.6722,Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=1 SV=1,HEART,PROT,HUMAN
Q62165,Dag1 Dag-1,0.979,7,0.7699,Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4,HEART,PROT,HUMAN
Q8QZR5,Gpt Gpt1,0.978,5,0.2853,Alanine aminotransferase 1 OS=Mus musculus GN=Gpt PE=1 SV=3,HEART,PROT,HUMAN
Q9D0F9,Pgm1 Pgm2,0.978,31,0.341,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4,HEART,PROT,HUMAN
Q9DCS9,Ndufb10,0.978,18,0.4297,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Mus musculus GN=Ndufb10 PE=1 SV=3,HEART,PROT,HUMAN
E9Q4Z2,Acacb Acc2 Accb,0.978,10,0.58,Acetyl-CoA carboxylase 2 OS=Mus musculus GN=Acacb PE=1 SV=1,HEART,PROT,HUMAN
P48758,Cbr1 Cbr,0.978,6,0.6677,Carbonyl reductase [NADPH] 1 OS=Mus musculus GN=Cbr1 PE=1 SV=3,HEART,PROT,HUMAN
Q9QVP4,Myl7 Mylc2a,0.978,17,0.6879,"Myosin regulatory light chain 2, atrial isoform OS=Mus musculus GN=Myl7 PE=1 SV=1",HEART,PROT,HUMAN
Q3UDC3,Tom1,0.978,7,0.8142,Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1,HEART,PROT,HUMAN
Q9JMH6,Txnrd1 Trxr1,0.978,4,0.8704,"Thioredoxin reductase 1, cytoplasmic OS=Mus musculus GN=Txnrd1 PE=1 SV=3",HEART,PROT,HUMAN
Q9D7N9,Apmap,0.977,3,0.4783,Adipocyte plasma membrane-associated protein OS=Mus musculus GN=Apmap PE=1 SV=1,HEART,PROT,HUMAN
Q9EPL8,Ipo7 Ranbp7,0.977,6,0.838,Importin-7 OS=Mus musculus GN=Ipo7 PE=1 SV=2,HEART,PROT,HUMAN
P62196,Psmc5 Sug1,0.975,6,0.6617,26S proteasome regulatory subunit 8 OS=Mus musculus GN=Psmc5 PE=1 SV=1,HEART,PROT,HUMAN
P62075,Timm13 Tim13a Timm13a,0.975,3,0.7045,Mitochondrial import inner membrane translocase subunit Tim13 OS=Mus musculus GN=Timm13 PE=1 SV=1,HEART,PROT,HUMAN
Q8C6K9,Col6a6,0.975,5,0.8168,Collagen alpha-6(VI) chain OS=Mus musculus GN=Col6a6 PE=1 SV=2,HEART,PROT,HUMAN
P70404,Idh3g,0.974,20,0.626,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1",HEART,PROT,HUMAN
Q9CQ69,Uqcrq,0.973,12,0.1906,Cytochrome b-c1 complex subunit 8 OS=Mus musculus GN=Uqcrq PE=1 SV=3,HEART,PROT,HUMAN
Q03734,Serpina3m,0.973,16,0.2328,Serine protease inhibitor A3M OS=Mus musculus GN=Serpina3m PE=1 SV=2,HEART,PROT,HUMAN
Q9CPY7,Lap3 Lapep,0.973,10,0.5033,Cytosol aminopeptidase OS=Mus musculus GN=Lap3 PE=1 SV=3,HEART,PROT,HUMAN
Q9R0G6,Comp,0.973,3,0.66,Cartilage oligomeric matrix protein OS=Mus musculus GN=Comp PE=1 SV=2,HEART,PROT,HUMAN
Q9CQ65,Mtap,0.973,5,0.728,S-methyl-5'-thioadenosine phosphorylase OS=Mus musculus GN=Mtap PE=1 SV=1,HEART,PROT,HUMAN
Q921S7,Mrpl37,0.973,3,0.8936,"39S ribosomal protein L37, mitochondrial OS=Mus musculus GN=Mrpl37 PE=1 SV=1",HEART,PROT,HUMAN
A0A1L1STE6,Idh3a,0.972,33,0.3312,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1",HEART,PROT,HUMAN
Q8K1M3,Prkar2a mCG_16488,0.972,13,0.6446,"Protein kinase, cAMP dependent regulatory, type II alpha OS=Mus musculus GN=Prkar2a PE=1 SV=1",HEART,PROT,HUMAN
G5E8T9,Hagh mCG_132060,0.972,8,0.8199,Hydroxyacyl glutathione hydrolase OS=Mus musculus GN=Hagh PE=1 SV=1,HEART,PROT,HUMAN
Q9EQI8,Mrpl46,0.971,4,0.6003,"39S ribosomal protein L46, mitochondrial OS=Mus musculus GN=Mrpl46 PE=1 SV=1",HEART,PROT,HUMAN
Q8CI51,Pdlim5 Enh,0.97,14,0.6507,PDZ and LIM domain protein 5 OS=Mus musculus GN=Pdlim5 PE=1 SV=4,HEART,PROT,HUMAN
P82348,Sgcg,0.97,7,0.6976,Gamma-sarcoglycan OS=Mus musculus GN=Sgcg PE=1 SV=2,HEART,PROT,HUMAN
Q9JKB1,Uchl3,0.97,6,0.7089,Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Mus musculus GN=Uchl3 PE=1 SV=2,HEART,PROT,HUMAN
Q8VDC0,Lars2,0.97,3,0.7276,"Probable leucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Lars2 PE=1 SV=1",HEART,PROT,HUMAN
P07724,Alb Alb-1 Alb1,0.969,64,0.1775,Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3,HEART,PROT,HUMAN
Q149B8,Perm1,0.969,12,0.6186,PGC-1 and ERR-induced regulator in muscle protein 1 OS=Mus musculus GN=Perm1 PE=1 SV=2,HEART,PROT,HUMAN
P48774,Gstm5 Fsc2 Gstm3,0.969,3,0.7267,Glutathione S-transferase Mu 5 OS=Mus musculus GN=Gstm5 PE=1 SV=1,HEART,PROT,HUMAN
Q9D881,Gm11273 Cox5b mCG_17741 mCG_23026,0.968,44,0.1342,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus GN=Cox5b PE=1 SV=1",HEART,PROT,HUMAN
Q8C605,Pfkp,0.968,4,0.6936,ATP-dependent 6-phosphofructokinase OS=Mus musculus GN=Pfkp PE=1 SV=1,HEART,PROT,HUMAN
Q9DCJ5,Ndufa8,0.967,7,0.2214,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus GN=Ndufa8 PE=1 SV=3,HEART,PROT,HUMAN
A0A1B0GSX0,Ldha mCG_19938,0.967,23,0.4673,L-lactate dehydrogenase OS=Mus musculus GN=Ldha PE=1 SV=1,HEART,PROT,HUMAN
Q9CQC7,Ndufb4,0.967,7,0.6766,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Mus musculus GN=Ndufb4 PE=1 SV=3,HEART,PROT,HUMAN
Q64433,Hspe1,0.966,16,0.04072,"10 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspe1 PE=1 SV=2",HEART,PROT,HUMAN
